donor	section	adjacent_pair	position_um	replicate_within_pair	n_spots	n_genes	raw_counts_available	normalized_log_expression_available	stored_xy_fields	selected_xy_fields	selected_xy_units	tissue_lowres_scalef	fullres_x_min	fullres_x_max	fullres_y_min	fullres_y_max	cortical_layer_annotation	n_spots_with_layer	observed_layer_labels
Br5292	151507	Br5292_pos0	0	1	4226	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2160	10917	2513	11751	layer_guess	4221	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br5292	151508	Br5292_pos0	0	2	4384	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2152	10910	2579	11821	layer_guess	4381	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br5292	151509	Br5292_pos300	300	1	4789	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2187	11012	2602	11912	layer_guess	4788	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br5292	151510	Br5292_pos300	300	2	4634	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2163	10999	2649	11968	layer_guess	4595	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br5595	151669	Br5595_pos0	0	1	3661	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3215	11893	2510	11487	layer_guess	3636	Layer3;Layer4;Layer5;Layer6;WM
Br5595	151670	Br5595_pos0	0	2	3498	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3151	11899	2583	11073	layer_guess	3484	Layer3;Layer4;Layer5;Layer6;WM
Br5595	151671	Br5595_pos300	300	1	4110	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3193	11946	2646	11743	layer_guess	4093	Layer3;Layer4;Layer5;Layer6;WM
Br5595	151672	Br5595_pos300	300	2	4015	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3198	11950	2710	11564	layer_guess	3888	Layer3;Layer4;Layer5;Layer6;WM
Br8100	151673	Br8100_pos0	0	1	3639	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3096	11062	2437	11584	layer_guess	3611	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br8100	151674	Br8100_pos0	0	2	3673	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2967	10934	2505	11769	layer_guess	3635	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br8100	151675	Br8100_pos300	300	1	3592	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	2710	11212	2561	11805	layer_guess	3566	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
Br8100	151676	Br8100_pos300	300	2	3460	33538	TRUE	TRUE	imagecol;imagerow	pxl_col_in_fullres;pxl_row_in_fullres	full-resolution image pixels	0.045004502	3230	11361	2640	11260	layer_guess	3431	Layer1;Layer2;Layer3;Layer4;Layer5;Layer6;WM
