target_key	stage	target_embryo	comparison	endpoint	endpoint_label	favorable_direction	delta	map_value	comparator_value
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	svg_spatial_pearson_median	Spatial Pearson	positive	0.28104274471600854	0.5614516933759054	0.28040894865989685
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	auprc_enrichment_median	AUPRC enrichment	positive	0.605625948007231	2.003056589852712	1.397430641845481
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	topk_dice_median	Prevalence-matched Dice	positive	0.13708594599565777	0.535587435282939	0.3985014892872812
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	weighted_centroid_error_median	Centroid error	positive	0.008150359982917934	0.017137889674344833	0.025288249657262767
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	spatial_emd_median	Spatial EMD	positive	0.0066923555157046705	0.06052095895409873	0.0672133144698034
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	log1p_rmse	log1p RMSE	positive	0.13071189324061072	0.6528216203053793	0.78353351354599
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.47050238649050397	0.47050238649050397	0.0
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	svg_spatial_pearson_median	Spatial Pearson	positive	-0.01557270685831702	0.5614516933759054	0.5770244002342224
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	auprc_enrichment_median	AUPRC enrichment	positive	-0.1443304679215851	2.003056589852712	2.147387057774297
50p_E1_to_E2	50% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	topk_dice_median	Prevalence-matched Dice	positive	-0.010680765588770513	0.535587435282939	0.5462682008717095
