target_key	stage	source_embryo	rank	gene	gene_index	source_candidate_count	source_mean_squared_gene_coverage
50p_E1_to_E2	50% epiboly	E1	1	klf2a	216	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	2	gata5	158	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	3	perp	317	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	4	mdm2	254	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	5	tfap2c	441	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	6	cxcr4a	80	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	7	dact2	81	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	8	bmp7a	35	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	9	efnb2a	102	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	10	foxd5	141	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	11	ppp1r7	326	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	12	cfl1l	59	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	13	cdx4	57	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	14	hoxb1b	189	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	15	sox10	402	314	0.18165574967861176
50p_E1_to_E2	50% epiboly	E1	16	foxg1a	142	314	0.18165574967861176
50p_E2_to_E1	50% epiboly	E2	1	krt4	224	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	2	gata5	158	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	3	snai2	398	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	4	mdm2	254	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	5	gata2a	156	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	6	vent	466	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	7	krt8	225	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	8	si:ch211-113a14.12	376	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	9	tfap2c	441	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	10	oclna	300	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	11	frmd4ba	149	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	12	dynll1	97	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	13	vgll4l	467	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	14	nkx2.5	290	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	15	cdx4	57	335	0.21557123959064484
50p_E2_to_E1	50% epiboly	E2	16	zgc:175088	485	335	0.21557123959064484
75p_E1_to_E2	75% epiboly	E1	1	znf185	491	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	2	kirrel3l	214	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	3	nsd2	298	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	4	cdh6	53	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	5	tfap2c	441	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	6	lmo4a	241	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	7	tgif1	442	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	8	six4a	390	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	9	lamb1a	227	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	10	ved	465	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	11	lft2	233	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	12	dlx3b	90	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	13	fezf2	126	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	14	six4b	391	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	15	crabp2b	70	357	0.21574664115905762
75p_E1_to_E2	75% epiboly	E1	16	zic3	488	357	0.21574664115905762
75p_E2_to_E1	75% epiboly	E2	1	add3b	2	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	2	flrt3	128	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	3	tfap2a	440	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	4	znf185	491	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	5	otx2b	305	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	6	sox32	410	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	7	bmp4	34	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	8	pcdh10b	312	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	9	lmo4a	241	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	10	crabp2b	70	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	11	rrbp1b	360	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	12	six4a	390	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	13	si:dkey-108k21.14	382	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	14	zic3	488	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	15	lamb1a	227	376	0.22343814373016357
75p_E2_to_E1	75% epiboly	E2	16	foxd5	141	376	0.22343814373016357
6s_E1_to_E2	6-somite	E1	1	cdh1	51	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	2	fn1b	130	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	3	nsd2	298	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	4	tbx16l	427	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	5	rrbp1b	360	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	6	fn1a	129	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	7	znf185	491	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	8	six7	392	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	9	aurkb	25	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	10	hoxb9a	192	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	11	ntd5	299	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	12	sox11a	403	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	13	gata5	158	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	14	prmt1	329	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	15	mcm2	249	418	0.1837015450000763
6s_E1_to_E2	6-somite	E1	16	pax3a	307	418	0.1837015450000763
6s_E2_to_E1	6-somite	E2	1	tagln2	423	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	2	tuba8l2	454	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	3	fn1b	130	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	4	rrbp1b	360	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	5	hoxc3a	193	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	6	nsd2	298	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	7	tbx16l	427	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	8	znf185	491	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	9	fn1a	129	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	10	six7	392	412	0.18369542062282562
6s_E2_to_E1	6-somite	E2	11	aurkb	25	412	0.18369542062282562
