target_key	stage	seed	method	frozen_residual_spatial_pearson_median	recomputed_residual_spatial_pearson_median	absolute_difference	reproduced	frozen_predictable_genes	audit_predictable_genes
50p_E1_to_E2	50% epiboly	42	hyperspatial_map_calibrated_fusion	0.4681335687637329	0.4681335687637329	0.0	True	477	477
50p_E1_to_E2	50% epiboly	42	anchor_only_calibrated	0.4731674790382385	0.4731674790382385	0.0	True	477	477
50p_E1_to_E2	50% epiboly	42	atlas_plus_global_anchor_residual	0.3166133165359497	0.3166133165359497	0.0	True	477	477
50p_E1_to_E2	50% epiboly	42	atlas_plus_local_anchor_residual	0.3031081557273865	0.3031081557273865	0.0	True	477	477
50p_E1_to_E2	50% epiboly	43	hyperspatial_map_calibrated_fusion	0.4698274433612823	0.46982744336128235	5.551115123125783e-17	True	477	477
50p_E1_to_E2	50% epiboly	43	anchor_only_calibrated	0.475460946559906	0.475460946559906	0.0	True	477	477
50p_E1_to_E2	50% epiboly	43	atlas_plus_global_anchor_residual	0.3194038867950439	0.31940388679504395	5.551115123125783e-17	True	477	477
50p_E1_to_E2	50% epiboly	43	atlas_plus_local_anchor_residual	0.3057249188423157	0.3057249188423157	0.0	True	477	477
50p_E1_to_E2	50% epiboly	44	hyperspatial_map_calibrated_fusion	0.4735461473464966	0.4735461473464966	0.0	True	477	477
50p_E1_to_E2	50% epiboly	44	anchor_only_calibrated	0.4795247614383697	0.47952476143836975	5.551115123125783e-17	True	477	477
50p_E1_to_E2	50% epiboly	44	atlas_plus_global_anchor_residual	0.3256436288356781	0.3256436288356781	0.0	True	477	477
50p_E1_to_E2	50% epiboly	44	atlas_plus_local_anchor_residual	0.3103396296501159	0.31033962965011597	5.551115123125783e-17	True	477	477
50p_E2_to_E1	50% epiboly	42	hyperspatial_map_calibrated_fusion	0.4514835774898529	0.4514835774898529	0.0	True	478	478
50p_E2_to_E1	50% epiboly	42	anchor_only_calibrated	0.4683378338813782	0.4683378338813782	0.0	True	478	478
50p_E2_to_E1	50% epiboly	42	atlas_plus_global_anchor_residual	0.2770491242408752	0.27704912424087524	5.551115123125783e-17	True	478	478
50p_E2_to_E1	50% epiboly	42	atlas_plus_local_anchor_residual	0.2751572132110595	0.27515721321105957	5.551115123125783e-17	True	478	478
50p_E2_to_E1	50% epiboly	43	hyperspatial_map_calibrated_fusion	0.4601966738700866	0.46019667387008667	5.551115123125783e-17	True	478	478
50p_E2_to_E1	50% epiboly	43	anchor_only_calibrated	0.4762626886367798	0.4762626886367798	0.0	True	478	478
50p_E2_to_E1	50% epiboly	43	atlas_plus_global_anchor_residual	0.2843826413154602	0.2843826413154602	0.0	True	478	478
