component	stage	direction	path	type	status	authoritative	hash	script	config	notes
0_cross_cutting	all	all	run_hyperspatial_map_stage1b_20260803.py	script	PASS	yes	317c5d642541def2e3384ec914c20067b6630dd535aecd4be880bd1a2a550bb6	self	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/00_protocol_lock/PROTOCOL_LOCK.json	Current file matches frozen runner SHA-256
0_cross_cutting	all	all	run_hyperspatial_map_stage1_20260803.py	script	PASS	yes	6ece4008d579821799f2eea2ba0abd447b03ea470b90c96090ad6f3f5be49d12	self	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/00_protocol_lock/PROTOCOL_LOCK.json	Current helper matches frozen helper SHA-256
0_cross_cutting	all	all	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	script	PASS	yes	a3f19d5e00808bb503322e4ea8c20730e3e29ee7df026a7453b2c780e0f18b3f	self	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/00_protocol_lock/PROTOCOL_LOCK.json	Frozen aggregation/source-data generator
0_cross_cutting	all	all	generate_hyperspatial_map_supplement_20260803.py	script	PASS	yes	08c6431a769c612c22fc6734e962f87f560b59198db49bfe3a7e878474983cbf	self	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/00_protocol_lock/PROTOCOL_LOCK.json	Existing renderer; not invoked in this audit
0_cross_cutting	all	all	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/14_reproducibility/CODE_AND_CONFIG_HASHES.tsv	hash_manifest	PASS	yes	6c2ce043d39a5095c962ed43c9400cf627bc85e1ab06946f95d1fab989de2fcd	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Frozen 3D code/config and prediction hashes
0_cross_cutting	75% future	all	run_hyperspatial_map_t_4d_frozen_20260804.py	script	PASS	yes	c2392d939d58d40166a1d54413b3dbcf3f4e9ea26b69e996004fdccb58f64d4c	self	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/PROTOCOL_LOCK.json	Current file matches frozen code lock
0_cross_cutting	75% future	all	hyperspatial_map_t_core_20260804.py	script	PASS	yes	3f308c8cf04cfa112eedb780b680fa65c770e1741c2c777046d26d361bde6655	self	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/PROTOCOL_LOCK.json	Current file matches frozen core lock
0_cross_cutting	75% future	all	postprocess_hyperspatial_map_t_20260804.py	script	PASS	yes	38268e60f0d0c6dce9a8beba393da22a1086cf937041bab858278e86abf284d0	self	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/POSTRUN_CODE_AND_AMENDMENT_HASHES.tsv	Current file matches postrun lock
0_cross_cutting	75% future	all	complete_hyperspatial_map_t_artifacts_20260804.py	script	PASS	yes	af6fc6fdb19942a418cbd2594a6af06382143439c22082f970147144327fa051	self	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/POSTRUN_CODE_AND_AMENDMENT_HASHES.tsv	Current file matches postrun lock
0_cross_cutting	75% future	all	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/CODE_AND_CONFIG_HASHES.tsv	hash_manifest	PASS	yes	1ac776ec08de68124ccba530bea938d67f59e5fde219261d5ce585f1c6130841	run_hyperspatial_map_t_4d_frozen_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	Frozen MAP-T code/config hashes
