fold	cohort	method	cells	ancestors	genes	rho_future_pooled	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error
A	full	B1_lineage_registered_idw	7028	0	479	0.04820058512508018	0.030662288889288902	0.03488703444600105	0.06595579534769058	0.06484375606992515	1.1072237491607666	0.7513893842697144	0.15547949546589024
A	full	B2_lineage_early_map	7028	0	479	0.0	0.0	0.0	0.08637689799070358	0.08668092013253584	1.0845916271209717	0.736030638217926	0.22711392043090697
A	full	B3_mean_developmental_correction	7028	0	479	0.5604469545831109	0.0069180806167423725	0.0	0.08641599118709564	0.08668011816639051	0.8974450826644897	0.6090283989906311	0.22711987755457638
A	full	B4_anchor_only_temporal	7028	0	479	0.5710638147916682	0.22767066955566406	0.21603941917419434	0.18824970722198486	0.1848810818601493	0.8868418335914612	0.6018327474594116	0.1704976520910157
A	full	B5_trajectory_free_map_t	7028	0	479	0.48557207638443767	0.10578905791044235	0.10557142645120621	0.10793006420135498	0.09882207297610526	0.9752835035324097	0.6618514657020569	0.11363609535466301
A	full	B6_trajectory_aware_map_t	7028	0	479	0.6205218131387544	0.2513715922832489	0.20292121171951294	0.23807667195796967	0.22994809363482094	0.8542231917381287	0.5796969532966614	0.20995131119535854
A	shared	B1_lineage_registered_idw	5381	0	479	0.04840133440754564	0.028695404529571533	0.033426471054553986	0.06386087834835052	0.061334018237331214	1.1061248779296875	0.74992436170578	0.1570192937333541
A	shared	B2_lineage_early_map	5381	0	479	0.0	0.0	0.0	0.08028287440538406	0.07970195149905397	1.0841264724731445	0.735010027885437	0.21943994150721124
A	shared	B3_mean_developmental_correction	5381	0	479	0.5644967526943803	0.007111459504812956	0.0	0.08032073825597763	0.07969912317281247	0.8933390974998474	0.6056610345840454	0.21943995188899768
A	shared	B4_anchor_only_temporal	5381	0	479	0.5736533638150664	0.2268074005842209	0.21398910880088806	0.18361029028892517	0.1785495728230277	0.8839930891990662	0.5993247032165527	0.1674221707731321
A	shared	B5_trajectory_free_map_t	5381	0	479	0.4840993050782776	0.09938538819551468	0.09871003776788712	0.09922368079423904	0.08897256536409605	0.9754153490066528	0.6613066792488098	0.12691152904498387
A	shared	B6_trajectory_aware_map_t	5381	0	479	0.6201365857312646	0.24462512135505676	0.19471119344234467	0.22953343391418457	0.22029537712431072	0.8536978960037231	0.5787853598594666	0.21849135295289385
A	disjoint	B1_lineage_registered_idw	1647	0	479	0.04679628816086685	0.03448377177119255	0.03657449409365654	0.07196453958749771	0.0748892373403432	1.110805630683899	0.7562301754951477	0.14915676909085618
A	disjoint	B2_lineage_early_map	1647	0	479	0.0	0.0	0.0	0.10427112877368927	0.1079550962173922	1.0861107110977173	0.7394179701805115	0.17926470792451776
A	disjoint	B3_mean_developmental_correction	1647	0	479	0.547371234335401	0.008191393688321114	0.0	0.10431405901908875	0.10796015447667878	0.9107308983802795	0.6200203895568848	0.17926479651324156
A	disjoint	B4_anchor_only_temporal	1647	0	479	0.5625382168393298	0.22767476737499237	0.2145911157131195	0.20167312026023865	0.2037488927080166	0.8960862755775452	0.6100504398345947	0.15027028619380278
A	disjoint	B5_trajectory_free_map_t	1647	0	479	0.49018440008247915	0.12162534147500992	0.11131133139133453	0.13159942626953125	0.12662062701318394	0.9748522043228149	0.6636738181114197	0.1521853368812256
A	disjoint	B6_trajectory_aware_map_t	1647	0	479	0.6216892017638889	0.2658774256706238	0.222539484500885	0.259383887052536	0.25577017018868664	0.8559370636940002	0.5827170610427856	0.235132862327682
B	full	B1_lineage_registered_idw	6807	0	479	0.07881992303513863	0.04024837538599968	0.03825181722640991	0.05449812114238739	0.052693512130552275	1.1287907361984253	0.7594802379608154	0.10861692148393726
B	full	B2_lineage_early_map	6807	0	479	0.0	0.0	0.0	0.06856196373701096	0.06564773499638214	1.1109405755996704	0.7474701404571533	0.17628901528034652
B	full	B3_mean_developmental_correction	6807	0	479	0.5703981714955076	0.01260740589350462	3.157419214971924e-08	0.06856844574213028	0.06564766548866567	0.9088463187217712	0.6114957928657532	0.1762890367821272
B	full	B4_anchor_only_temporal	6807	0	479	0.563769882606721	0.2138604074716568	0.22099438309669495	0.1477116048336029	0.14033439124902117	0.9153354167938232	0.6158618330955505	0.16250084599297923
B	full	B5_trajectory_free_map_t	6807	0	479	0.49624611947709546	0.12592332065105438	0.13990822434425354	0.10799343883991241	0.10044426173351947	0.9753140807151794	0.656217098236084	0.1170755839377047
B	full	B6_trajectory_aware_map_t	6807	0	479	0.6196155894705728	0.27185434103012085	0.23692722618579865	0.23222395777702332	0.2258201334268128	0.8689002990722656	0.5846190452575684	0.15651539784647825
B	shared	B1_lineage_registered_idw	5373	0	479	0.07814268218780097	0.03526747599244118	0.030350949615240097	0.051982712000608444	0.04984513480197984	1.1278706789016724	0.7591942548751831	0.10787081995558098
B	shared	B2_lineage_early_map	5373	0	479	0.0	0.0	0.0	0.06807475537061691	0.06432677471853888	1.1102477312088013	0.7473318576812744	0.18022581158620826
B	shared	B3_mean_developmental_correction	5373	0	479	0.5713732852466066	0.012579727917909622	2.8673225571651528e-08	0.06805083155632019	0.06432677026936007	0.9073227047920227	0.6107386350631714	0.1802257833303877
B	shared	B4_anchor_only_temporal	5373	0	479	0.5642517705573936	0.208099365234375	0.21383877098560333	0.14632241427898407	0.137758040232311	0.9138692021369934	0.615145206451416	0.1542748469146591
B	shared	B5_trajectory_free_map_t	5373	0	479	0.4921008209052998	0.11919661611318588	0.1283397674560547	0.10589955002069473	0.09694185578529116	0.9776606559753418	0.6580846309661865	0.1067377930952185
