direction	source_section	target_section	donor	adjacent_pair	eligible_nonanchor_genes	guard_supported_genes	map_residual_spatial_pearson	idw_residual_spatial_pearson	map_all_gene_spatial_pearson	idw_all_gene_spatial_pearson	map_minus_idw_spatial_pearson	paired_gene_median_map_minus_idw_spatial_pearson	map_log1p_rmse	idw_log1p_rmse	idw_minus_map_log1p_rmse	paired_gene_median_idw_minus_map_log1p_rmse	map_minus_idw_auprc_enrichment	map_minus_idw_dice	idw_minus_map_centroid_error	idw_minus_map_spatial_emd_2d	spatial_pearson_improved_genes	spatial_pearson_comparable_genes	spatial_pearson_improved_fraction	guard_supported_spatial_pearson_improved_genes	guard_supported_spatial_pearson_improved_fraction	rmse_improved_genes	rmse_comparable_genes	rmse_improved_fraction
151507_to_151508	151507	151508	Br5292	Br5292_pos0	6708	3064	0.49632072556157353		0.02249128464826079	0.012005639148870569	0.01048564549939022	0.0	0.3122589389483134	0.3368655244509379	0.02460658550262451	0.0	0.10866228888679674	0.02176105177063864	-0.008869491857599216	-0.003486857363759442	2840	6708	0.4233750745378652	2840	0.9268929503916449	3063	6708	0.45661896243291594
151508_to_151507	151508	151507	Br5292	Br5292_pos0	5828	2190	0.556441737570211		0.020159467560501257	0.012551380095519765	0.007608087464981492	0.0	0.2874260942141215	0.3098801076412201	0.022454013427098574	0.0	0.10741786811620901	0.019056777731357166	-0.008392624567561036	-0.0025134522962581285	1993	5828	0.34196980096087853	1993	0.9100456621004567	2190	5828	0.37577213452299246
151509_to_151510	151509	151510	Br5292	Br5292_pos300	6852	3896	0.5364882170945859		0.02991843068918375	0.011856754272958769	0.018061676416224984	0.010439623991854958	0.2977008521556854	0.33119789759318036	0.03349704543749493	0.034826042751471206	0.14010280132480601	0.02946337820755518	-0.0030139152886894324	-0.0007730357477330682	3703	6852	0.5404261529480444	3703	0.9504620123203286	3896	6852	0.5685931115002919
151510_to_151509	151510	151509	Br5292	Br5292_pos300	6575	3549	0.49649154574297966		0.029235788630291488	0.01366009825287832	0.015575690377413168	0.0032262129331463592	0.2923816939194997	0.3183562159538269	0.025974522034327208	0.026131620009740193	0.19057213009138008	0.023917585869313307	-0.009825007320620447	-0.0023859850280478004	3363	6575	0.5114828897338403	3363	0.9475908706677938	3548	6575	0.5396197718631178
151669_to_151670	151669	151670	Br5595	Br5595_pos0	7970	3908	0.5297825928890219		0.022134552805885926	0.009200957235771072	0.012933595570114854	0.0	0.32240955034891766	0.35339080293973285	0.03098125259081519	0.0	0.14331193216371219	0.027307662879949207	-0.0009388875525319605	-0.00035082318005282	3642	7970	0.45696361355081555	3642	0.9319344933469805	3908	7970	0.4903387703889586
151670_to_151669	151670	151669	Br5595	Br5595_pos0	7625	3806	0.5457605747647568		0.02283817545811993	0.010577909307652808	0.012260266150467122	0.0	0.2993796368439992	0.33028146624565125	0.030901829401652037	0.0	0.12703198990529674	0.032453480124046113	-0.003663982827502116	-0.0013219605225810102	3497	7625	0.45862295081967214	3497	0.918812401471361	3805	7625	0.49901639344262294
151671_to_151672	151671	151672	Br5595	Br5595_pos300	8201	4229	0.5420357125787842		0.024750474473275736	0.009309722350054521	0.015440752123221215	0.0	0.3308384120464325	0.36664338906606037	0.03580497701962787	0.03203346331914266	0.13543373346353604	0.029973401304633135	-0.007383390764463501	-0.0034453600470053455	3981	8201	0.4854286062675284	3981	0.9413572948687633	4229	8201	0.515668820875503
151672_to_151671	151672	151671	Br5595	Br5595_pos300	7846	4098	0.5341099958110387		0.02487116287331	0.010640417638578176	0.014230745234731824	0.0	0.31509358684221905	0.3490779598553975	0.03398437301317847	0.030172355473041534	0.10349804085371028	0.027440348591992902	-0.008969153604823107	-0.0038096995309287313	3791	7846	0.48317614070864134	3791	0.9250854075158614	4098	7846	0.5223043589089982
151673_to_151674	151673	151674	Br8100	Br8100_pos0	9185	3831	0.5603511212192505		0.02530052084168577	0.015554139068542859	0.009746381773142911	0.0	0.31326021750768024	0.3400421142578125	0.02678189675013226	0.0	0.14947252574774583	0.0346393959000979	-0.0031176774902332317	-0.0010579743941335693	3476	9185	0.3784431137724551	3476	0.9073348995040459	3824	9185	0.41633097441480676
151674_to_151673	151674	151673	Br8100	Br8100_pos0	10346	4785	0.5112944417860686		0.027437475692814853	0.015020207542593554	0.0124172681502213	0.0	0.36372317870457965	0.3941088914871216	0.03038571278254193	0.0	0.3367027623293808	0.05938498423249666	-0.004622332523334188	-0.004524604325487368	4455	10346	0.4306011985308332	4455	0.9310344827586207	4781	10346	0.4621109607577808
151675_to_151676	151675	151676	Br8100	Br8100_pos300	8231	3181	0.5328393404675692		0.02096453708212952	0.01264261109618406	0.00832192598594546	0.0	0.3041974703470866	0.32640406489372253	0.022206594546635927	0.0	0.26801748720779806	0.035019981361046726	-0.00867262474291229	-0.002892460555734229	2893	8231	0.3514761268375653	2893	0.9094624331971078	3181	8231	0.38646580002429837
151676_to_151675	151676	151675	Br8100	Br8100_pos300	8552	3244	0.5222118636344066		0.019923769323464294	0.01188312734185007	0.008040641981614225	0.0	0.32256773114204407	0.34440212448438007	0.021834393342336	0.0	0.24627193874891273	0.04165696961353399	-0.005218396070534993	-0.001120817604461935	2939	8552	0.3436623012160898	2939	0.905980271270037	3244	8552	0.3793264733395697
