target_key	stage	target_embryo	gene	gene_index	endpoint	method	value
50p_E1_to_E2	50% epiboly	E2	acvr1ba	1	spatial_pearson	registered_idw_k12	0.32572004
50p_E1_to_E2	50% epiboly	E2	acvr1ba	1	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5022445
50p_E1_to_E2	50% epiboly	E2	acvr1ba	1	spatial_pearson	anchor_only_calibrated	0.520965
50p_E1_to_E2	50% epiboly	E2	add3b	2	spatial_pearson	registered_idw_k12	0.37923145
50p_E1_to_E2	50% epiboly	E2	add3b	2	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7931047
50p_E1_to_E2	50% epiboly	E2	add3b	2	spatial_pearson	anchor_only_calibrated	0.7959909
50p_E1_to_E2	50% epiboly	E2	adka	3	spatial_pearson	registered_idw_k12	0.38649818
50p_E1_to_E2	50% epiboly	E2	adka	3	spatial_pearson	hyperspatial_map_calibrated_fusion	0.438985
50p_E1_to_E2	50% epiboly	E2	adka	3	spatial_pearson	anchor_only_calibrated	0.3929666
50p_E1_to_E2	50% epiboly	E2	admp	4	spatial_pearson	registered_idw_k12	-0.16600488
50p_E1_to_E2	50% epiboly	E2	admp	4	spatial_pearson	hyperspatial_map_calibrated_fusion	0.49727356
50p_E1_to_E2	50% epiboly	E2	admp	4	spatial_pearson	anchor_only_calibrated	0.5805288
50p_E1_to_E2	50% epiboly	E2	akap12b	6	spatial_pearson	registered_idw_k12	0.3659669
50p_E1_to_E2	50% epiboly	E2	akap12b	6	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6245051
50p_E1_to_E2	50% epiboly	E2	akap12b	6	spatial_pearson	anchor_only_calibrated	0.64288646
50p_E1_to_E2	50% epiboly	E2	aldob	8	spatial_pearson	registered_idw_k12	0.40112498
50p_E1_to_E2	50% epiboly	E2	aldob	8	spatial_pearson	hyperspatial_map_calibrated_fusion	0.86807567
50p_E1_to_E2	50% epiboly	E2	aldob	8	spatial_pearson	anchor_only_calibrated	0.8863628
50p_E1_to_E2	50% epiboly	E2	anp32e	9	spatial_pearson	registered_idw_k12	0.49504247
50p_E1_to_E2	50% epiboly	E2	anp32e	9	spatial_pearson	hyperspatial_map_calibrated_fusion	0.83562523
50p_E1_to_E2	50% epiboly	E2	anp32e	9	spatial_pearson	anchor_only_calibrated	0.8360884
50p_E1_to_E2	50% epiboly	E2	aplnra	11	spatial_pearson	registered_idw_k12	0.44072834
50p_E1_to_E2	50% epiboly	E2	aplnra	11	spatial_pearson	hyperspatial_map_calibrated_fusion	0.9028883
50p_E1_to_E2	50% epiboly	E2	aplnra	11	spatial_pearson	anchor_only_calibrated	0.9028883
50p_E1_to_E2	50% epiboly	E2	apoc1	13	spatial_pearson	registered_idw_k12	0.053442497
50p_E1_to_E2	50% epiboly	E2	apoc1	13	spatial_pearson	hyperspatial_map_calibrated_fusion	0.48668995
50p_E1_to_E2	50% epiboly	E2	apoc1	13	spatial_pearson	anchor_only_calibrated	0.48668995
50p_E1_to_E2	50% epiboly	E2	arf5	14	spatial_pearson	registered_idw_k12	0.115925856
50p_E1_to_E2	50% epiboly	E2	arf5	14	spatial_pearson	hyperspatial_map_calibrated_fusion	0.38940182
50p_E1_to_E2	50% epiboly	E2	arf5	14	spatial_pearson	anchor_only_calibrated	0.40788707
50p_E1_to_E2	50% epiboly	E2	arl4ab	17	spatial_pearson	registered_idw_k12	0.587195
50p_E1_to_E2	50% epiboly	E2	arl4ab	17	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6426174
50p_E1_to_E2	50% epiboly	E2	arl4ab	17	spatial_pearson	anchor_only_calibrated	0.58876336
50p_E1_to_E2	50% epiboly	E2	aurkb	25	spatial_pearson	registered_idw_k12	0.13148506
50p_E1_to_E2	50% epiboly	E2	aurkb	25	spatial_pearson	hyperspatial_map_calibrated_fusion	0.33517277
50p_E1_to_E2	50% epiboly	E2	aurkb	25	spatial_pearson	anchor_only_calibrated	0.33855343
50p_E1_to_E2	50% epiboly	E2	bambia	28	spatial_pearson	registered_idw_k12	-0.30071327
50p_E1_to_E2	50% epiboly	E2	bambia	28	spatial_pearson	hyperspatial_map_calibrated_fusion	0.48401
50p_E1_to_E2	50% epiboly	E2	bambia	28	spatial_pearson	anchor_only_calibrated	0.67876905
50p_E1_to_E2	50% epiboly	E2	baz1b	29	spatial_pearson	registered_idw_k12	0.2684572
50p_E1_to_E2	50% epiboly	E2	baz1b	29	spatial_pearson	hyperspatial_map_calibrated_fusion	0.562996
50p_E1_to_E2	50% epiboly	E2	baz1b	29	spatial_pearson	anchor_only_calibrated	0.5804611
50p_E1_to_E2	50% epiboly	E2	bmp2b	33	spatial_pearson	registered_idw_k12	-0.115590125
50p_E1_to_E2	50% epiboly	E2	bmp2b	33	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7067898
50p_E1_to_E2	50% epiboly	E2	bmp2b	33	spatial_pearson	anchor_only_calibrated	0.7563177
50p_E1_to_E2	50% epiboly	E2	bmp4	34	spatial_pearson	registered_idw_k12	0.10455268
50p_E1_to_E2	50% epiboly	E2	bmp4	34	spatial_pearson	hyperspatial_map_calibrated_fusion	0.54360944
50p_E1_to_E2	50% epiboly	E2	bmp4	34	spatial_pearson	anchor_only_calibrated	0.5533289
50p_E1_to_E2	50% epiboly	E2	brd2a	36	spatial_pearson	registered_idw_k12	0.3647951
50p_E1_to_E2	50% epiboly	E2	brd2a	36	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6471178
50p_E1_to_E2	50% epiboly	E2	brd2a	36	spatial_pearson	anchor_only_calibrated	0.65465325
