target_key,stage,source,target,method,label,evaluated_non_anchor_genes,source_defined_spatial_gene_count,pooled_cell_gene_residual_pearson,residual_spatial_pearson_median_all_genes,svg_spatial_pearson_median,svg_spatial_spearman_median,auprc_enrichment_median,topk_dice_median,weighted_centroid_error_median,spatial_emd_median,log1p_rmse,moran_error_median,eligible_localization_genes,spatial_pearson_ci_low,spatial_pearson_ci_high
50p_E1_to_E2,50%,E1,E2,registered_idw_k12,Registered IDW,479,100,,,0.2795343995094299,0.2485499511305037,1.3986033455735851,0.3992802035978959,0.0237272409722208,0.0626447043709209,0.7724910974502563,0.486275240778923,100,0.2142611145973205,0.3409053385257721
50p_E1_to_E2,50%,E1,E2,anchor_only_calibrated,Anchor-only,479,100,0.5649554304727422,0.4731674790382385,0.5770302414894104,0.4829938839007855,2.147387057774297,0.5462682008717095,0.0151975420303642,0.0585005011691541,0.6266584992408752,0.1455116644501686,100,0.5209649801254272,0.6090375781059265
50p_E1_to_E2,50%,E1,E2,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5460598547874715,0.4680698812007904,0.562869131565094,0.4864149905539523,2.0013930247039102,0.5355439487395963,0.0171565432101488,0.0603537657693226,0.6358960866928101,0.2085793614387512,100,0.4932140529155731,0.604848325252533
50p_E1_to_E2,50%,E1,E2,transimpspa,TransImpSpa,479,100,0.5285581596234169,0.4489022195339203,0.519207239151001,0.4170025389528473,1.7777585901369075,0.5131602517235571,0.0206461073830723,0.0601463974692778,0.6474077105522156,0.0902652740478515,100,0.4097878932952881,0.5755983918905258
50p_E2_to_E1,50%,E2,E1,registered_idw_k12,Registered IDW,479,100,,,0.3045533895492553,0.2327351892159523,1.5113961653185424,0.3584504044274159,0.0272836610674858,0.064412142820921,0.713296115398407,0.5261749029159546,99,0.2031292468309402,0.347174733877182
50p_E2_to_E1,50%,E2,E1,anchor_only_calibrated,Anchor-only,479,100,0.5321573597791109,0.468402087688446,0.5080503821372986,0.4153293829749514,2.027187162464894,0.435740072202166,0.0126966908574104,0.0571607045795211,0.6008222699165344,0.0783319771289825,99,0.4178895354270935,0.5720809102058411
50p_E2_to_E1,50%,E2,E1,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5123256503931828,0.4508358240127563,0.4845243692398071,0.4021042946330296,1.9295405424468637,0.4118518518518518,0.0138750309124588,0.0615706343216329,0.60533207654953,0.1496476531028747,99,0.40012127161026,0.5381077527999878
50p_E2_to_E1,50%,E2,E1,transimpspa,TransImpSpa,479,100,0.4897085465811838,0.4537957310676574,0.3838502764701843,0.3428560712673199,1.708660081555886,0.3960597826086957,0.0146113848313689,0.0603898694767354,0.6442074775695801,0.0739623121917247,99,0.3641101717948913,0.4761694885790348
75p_E1_to_E2,75%,E1,E2,registered_idw_k12,Registered IDW,479,100,,,0.4369368851184845,0.4151972862348346,2.076283409903826,0.4942689897731836,0.0233677215874195,0.0631166253588582,0.8060705065727234,0.4704925417900085,100,0.3713721930980682,0.4891583323478699
75p_E1_to_E2,75%,E1,E2,anchor_only_calibrated,Anchor-only,479,100,0.5795914203112906,0.5027568340301514,0.6518178582191467,0.6018166309240374,2.9318285315586223,0.5979370095352539,0.0175873441621661,0.0616764789730267,0.6510505676269531,0.1212873607873916,100,0.5928235054016113,0.6922619313001632
