endpoint,comparison,mean_favourable_effect,median_favourable_effect,directions_MAP_better,directions_evaluable
svg_spatial_pearson_median,MAP_minus_transimpspa,0.05565217137336731,0.04822155833244324,6,6
svg_spatial_pearson_median,MAP_minus_anchor_only_calibrated,0.00313374400138855,0.0011534690856933594,3,6
svg_spatial_pearson_median,MAP_minus_registered_idw_k12,0.20562446614106497,0.20065800845623016,6,6
residual_spatial_pearson_median_all_genes,MAP_minus_transimpspa,0.010432099302609762,0.014983773231506348,4,6
residual_spatial_pearson_median_all_genes,MAP_minus_anchor_only_calibrated,-0.015160411596298218,-0.014005586504936218,0,6
residual_spatial_pearson_median_all_genes,MAP_minus_registered_idw_k12,,,0,0
pooled_cell_gene_residual_pearson,MAP_minus_transimpspa,0.032551681140275325,0.03154406890205996,6,6
pooled_cell_gene_residual_pearson,MAP_minus_anchor_only_calibrated,-0.022069808555255588,-0.019217803183421422,0,6
pooled_cell_gene_residual_pearson,MAP_minus_registered_idw_k12,,,0,0
auprc_enrichment_median,MAP_minus_transimpspa,0.25066168451528753,0.24059506792434115,6,6
auprc_enrichment_median,MAP_minus_anchor_only_calibrated,-0.014644849467870627,0.007972294445720562,3,6
auprc_enrichment_median,MAP_minus_registered_idw_k12,0.678447823639635,0.6249058329136611,6,6
topk_dice_median,MAP_minus_transimpspa,0.031324100823462535,0.03336766102564109,5,6
topk_dice_median,MAP_minus_anchor_only_calibrated,-0.002258647395658888,-0.006550732235727996,2,6
topk_dice_median,MAP_minus_registered_idw_k12,0.11040636953241574,0.12095454403727715,6,6
weighted_centroid_error_median,MAP_minus_transimpspa,0.009223065649469694,0.010032568592578173,6,6
weighted_centroid_error_median,MAP_minus_anchor_only_calibrated,0.0010867657450338204,-0.0007819146849215031,2,6
weighted_centroid_error_median,MAP_minus_registered_idw_k12,0.005604189742977421,0.0048494478687644005,6,6
spatial_emd_median,MAP_minus_transimpspa,0.006988118752607998,0.007890187777862122,4,6
spatial_emd_median,MAP_minus_anchor_only_calibrated,0.0025500998645444604,0.0033484682613943405,4,6
spatial_emd_median,MAP_minus_registered_idw_k12,0.003055386037589007,0.003047693931498771,6,6
log1p_rmse,MAP_minus_transimpspa,0.0388112465540568,0.04107010364532471,6,6
log1p_rmse,MAP_minus_anchor_only_calibrated,-0.005210449298222859,-0.0035400688648223877,2,6
log1p_rmse,MAP_minus_registered_idw_k12,0.13735835750897726,0.13711005449295044,6,6
