panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6i,50p_E1_to_E2,50% epiboly,ackr3b,500.0,1.1310503482818604,1.2570448,1.280710518360138,False,0.0,0.8831428586454438,,,,
S6i,50p_E1_to_E2,50% epiboly,acvr1ba,500.0,0.3293065130710602,0.2028085,0.2129575662314892,True,0.3841345637385581,1.5463480302601567,,,,
S6i,50p_E1_to_E2,50% epiboly,add3b,500.0,0.8169537186622621,0.29987687,0.31102392822504044,True,0.6329328554671828,2.626658737559117,,,,
S6i,50p_E1_to_E2,50% epiboly,adka,500.0,0.2219868153333664,0.1327708,0.14190333411097528,True,0.40189778230030265,1.5643523580620167,,,,
S6i,50p_E1_to_E2,50% epiboly,admp,500.0,1.4714003801345823,0.54398596,0.5550726860761642,True,0.6302937186831631,2.6508246884493327,,,,
S6i,50p_E1_to_E2,50% epiboly,ahi1,500.0,0.479459822177887,0.36883366,0.3775710359215737,True,0.23073082661227914,1.2698532900110402,,,,
S6i,50p_E1_to_E2,50% epiboly,akap12b,500.0,0.127384752035141,0.05671425,0.05895074643194675,True,0.5547799031565934,2.1608674994844224,,,,
S6i,50p_E1_to_E2,50% epiboly,alcamb,500.0,0.8218252658843994,1.08352,1.1051899313926696,False,0.0,0.7436054587004811,,,,
S6i,50p_E1_to_E2,50% epiboly,aldob,500.0,0.6001614332199097,0.13609514,0.14001209810376167,True,0.7732357847889739,4.286496962392032,,,,
S6i,50p_E1_to_E2,50% epiboly,anp32e,500.0,0.35142311453819275,0.12455459,0.13038119077682495,True,0.6455708681700331,2.695351319039016,,,,
S6i,50p_E1_to_E2,50% epiboly,apex1,500.0,0.3844015002250672,0.27842402,0.28397191166877744,True,0.2756947503615572,1.353660289731155,,,,
S6i,50p_E1_to_E2,50% epiboly,aplnra,500.0,1.08887779712677,1.9653493000000002,2.006551969051361,False,0.0,0.5426611490364536,,,,
S6i,50p_E1_to_E2,50% epiboly,aplnrb,500.0,0.4015405774116516,0.35299063,0.3596271455287933,True,0.1209092003497838,1.1165469081073651,,,,
S6i,50p_E1_to_E2,50% epiboly,apoc1,500.0,0.4027581214904785,0.09276752,0.09662122949957848,True,0.7696693951304986,4.168422649726638,,,,
S6i,50p_E1_to_E2,50% epiboly,arf5,500.0,0.18472708761692047,0.12169099,0.13012428283691405,True,0.3412390672611737,1.4196204089627193,,,,
S6i,50p_E1_to_E2,50% epiboly,arhgap5,500.0,0.4361893534660339,0.34552574,0.3557833239436149,True,0.20785379369867046,1.225997184553714,,,,
S6i,50p_E1_to_E2,50% epiboly,arl4aa,500.0,0.2772427797317505,0.25207698,0.25756939500570303,True,0.090771692248421,1.0763809097956372,,,,
S6i,50p_E1_to_E2,50% epiboly,arl4ab,500.0,0.6099967956542969,0.37145287,0.3801997601985931,True,0.39105767336639424,1.6044113108742413,,,,
S6i,50p_E1_to_E2,50% epiboly,arl4d,500.0,0.5799506306648254,0.6097975,0.6247349292039871,False,0.0,0.9283147196584253,,,,
S6i,50p_E1_to_E2,50% epiboly,arl6ip5a,500.0,0.4271398484706879,0.35271537,0.3591831639409065,True,0.17423912963847385,1.1891978560024095,,,,
S6i,50p_E1_to_E2,50% epiboly,aspm,500.0,0.4227830767631531,0.37948623,0.3863655120134354,True,0.10240912218778668,1.0942567688299554,,,,
S6i,50p_E1_to_E2,50% epiboly,atf6,500.0,0.3135789334774017,0.2566073,0.2665986493229866,True,0.18168197322115653,1.1762210133986766,,,,
S6i,50p_E1_to_E2,50% epiboly,atoh1c,500.0,0.3001723289489746,0.20815748,0.2132192999124527,True,0.3065400781881695,1.4078103111314249,,,,
S6i,50p_E1_to_E2,50% epiboly,atp2b1a,500.0,0.14507253468036652,0.066006124,0.07161587551236152,True,0.5450129539333417,2.0257035698087043,,,,
S6i,50p_E1_to_E2,50% epiboly,atrxl,500.0,0.2357752025127411,0.11996747,0.12761481404304506,True,0.491178602311149,1.8475535483930026,,,,
S6i,50p_E1_to_E2,50% epiboly,aurkb,500.0,0.31224068999290466,0.20121565,0.21182305216789246,True,0.3555751666569789,1.4740637848302764,,,,
S6i,50p_E1_to_E2,50% epiboly,axin2,500.0,0.4886640310287476,0.38067263,0.3887624517083168,True,0.2209931374598673,1.2569733236361664,,,,
S6i,50p_E1_to_E2,50% epiboly,bach1b,500.0,0.4515229463577271,0.30534774,0.3107579201459885,True,0.32373815525145017,1.4529732537327116,,,,
S6i,50p_E1_to_E2,50% epiboly,bambia,500.0,0.940632939338684,0.14707589,0.15544198900461195,True,0.8436415679870266,6.051343947424498,,,,
S6i,50p_E1_to_E2,50% epiboly,baz1b,500.0,0.4186014235019684,0.278172,0.28836840093135835,True,0.335472908777224,1.4516202959477866,,,,
