target_key	stage	annotation	class	n_cells	cell_fraction	median_absolute_truth_residual	median_within_class_truth_residual_variance	hyperspatial_map_calibrated_fusion__median_within_class_residual_pearson	hyperspatial_map_calibrated_fusion__genes_with_positive_within_class_recovery	anchor_only_calibrated__median_within_class_residual_pearson	anchor_only_calibrated__genes_with_positive_within_class_recovery	atlas_plus_global_anchor_residual__median_within_class_residual_pearson	atlas_plus_global_anchor_residual__genes_with_positive_within_class_recovery	atlas_plus_local_anchor_residual__median_within_class_residual_pearson	atlas_plus_local_anchor_residual__genes_with_positive_within_class_recovery	n_genes	primary_method
50p_E1_to_E2	50% epiboly	type	Blastoderm	7932	0.7757457212713936	0.3786274790763855	0.3291993737220764	0.4222530722618103	477	0.43348976969718933	477	0.2397027164697647	475	0.22568583488464355	469	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	type	EVL	1788	0.17486552567237162	0.6188615560531616	0.607418954372406	0.32675036787986755	476	0.3300078511238098	476	0.1982063353061676	476	0.19784043729305267	473	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	type	YSL	505	0.04938875305623472	0.5761196613311768	0.6978256106376648	0.4234441816806793	477	0.4248116910457611	477	0.3337009847164154	477	0.31499361991882324	474	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	Animal Dorsal	1545	0.15110024449877751	0.37189245223999023	0.3064061403274536	0.42400017380714417	475	0.4282127916812897	477	0.21970847249031067	465	0.2411894053220749	457	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	Animal Ventral	3829	0.37447432762836186	0.36745524406433105	0.31748464703559875	0.3744440972805023	477	0.3844730257987976	477	0.19113154709339142	475	0.18434832990169525	471	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	EVL Animal	1357	0.13271393643031784	0.6251335144042969	0.5826173424720764	0.30093735456466675	477	0.30897393822669983	477	0.15770764648914337	473	0.1574811190366745	469	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	EVL Margin	431	0.04215158924205379	0.5988836884498596	0.6363793015480042	0.3699178397655487	477	0.3730959892272949	477	0.24661210179328918	476	0.24003013968467712	470	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	Margin Dorsal	581	0.056821515892420536	0.4211547076702118	0.31261274218559265	0.43932101130485535	477	0.4504392445087433	477	0.20286475121974945	467	0.19877979159355164	467	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	Margin Ventrolateral Anterior	980	0.0958435207823961	0.3829922676086426	0.3022235035896301	0.44114816188812256	477	0.4582044184207916	477	0.2406364530324936	470	0.22414983808994293	459	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	Margin Ventrolateral Pnterior	997	0.09750611246943765	0.40691256523132324	0.32757869362831116	0.49188992381095886	477	0.5053492188453674	477	0.29629069566726685	475	0.27934274077415466	467	477	hyperspatial_map_calibrated_fusion
50p_E1_to_E2	50% epiboly	clusters	YSL	505	0.04938875305623472	0.5761196613311768	0.6978256106376648	0.4234441816806793	477	0.4248116910457611	477	0.3337009847164154	477	0.31499361991882324	474	477	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	type	Blastoderm	6586	0.7705627705627706	0.36550241708755493	0.30072513222694397	0.3955528736114502	477	0.4144420027732849	478	0.1948159784078598	475	0.20556268095970154	468	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	type	EVL	1540	0.18018018018018017	0.5571866631507874	0.589074969291687	0.4217374920845032	476	0.4280303120613098	476	0.3075430393218994	473	0.2956812381744385	474	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	type	YSL	421	0.049257049257049254	0.5233442187309265	0.5032113194465637	0.457669734954834	478	0.47163528203964233	478	0.26508307456970215	476	0.25870662927627563	472	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	Animal Dorsal	1398	0.16356616356616357	0.3558155298233032	0.2553943395614624	0.35328197479248047	478	0.3765419125556946	478	0.1292615830898285	469	0.13825520873069763	460	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	Animal Ventral	3040	0.35568035568035566	0.355851948261261	0.2847525477409363	0.36318930983543396	477	0.3861698806285858	478	0.16482871770858765	473	0.17330701649188995	467	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	EVL Animal	1144	0.13384813384813385	0.5504181385040283	0.5433230400085449	0.38923442363739014	477	0.39828771352767944	478	0.2672494649887085	475	0.25080806016921997	474	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	EVL Margin	396	0.04633204633204633	0.5782223343849182	0.6007452011108398	0.45334815979003906	478	0.4604058861732483	478	0.3400062322616577	478	0.32380613684654236	471	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	Margin Dorsal	457	0.05346905346905347	0.38529109954833984	0.2549172639846802	0.4360758662223816	478	0.45540398359298706	478	0.24818310141563416	473	0.24480898678302765	468	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	Margin Ventrolateral Anterior	987	0.11547911547911548	0.37763360142707825	0.2996201515197754	0.3948570191860199	477	0.41565483808517456	478	0.18753832578659058	467	0.20237380266189575	461	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	Margin Ventrolateral Pnterior	704	0.08236808236808237	0.40317755937576294	0.3516978323459625	0.45631861686706543	478	0.4711969196796417	478	0.26940518617630005	476	0.2888747453689575	473	478	hyperspatial_map_calibrated_fusion
50p_E2_to_E1	50% epiboly	clusters	YSL	421	0.049257049257049254	0.5233442187309265	0.5032113194465637	0.457669734954834	478	0.47163528203964233	478	0.26508307456970215	476	0.25870662927627563	472	478	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	germlayer	Ectoderm	9060	0.5048760100306492	0.4123915135860443	0.3541717529296875	0.4140373766422272	465	0.43151572346687317	465	0.25309354066848755	463	0.2588568925857544	460	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	germlayer	Endoderm	497	0.02769573697408749	0.47205591201782227	0.4023144841194153	0.41246479749679565	465	0.42918160557746887	465	0.2589658498764038	457	0.2660347521305084	460	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	germlayer	Mesoderm	5869	0.3270548899414879	0.4186200201511383	0.3572203814983368	0.44372546672821045	465	0.4515489637851715	465	0.2886747121810913	464	0.30342212319374084	464	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	germlayer	Other	2519	0.14037336305377543	0.7208423614501953	0.8669050931930542	0.4237177073955536	464	0.42399048805236816	464	0.3345250189304352	464	0.326988160610199	463	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	type	Epiblast	13251	0.7384229590415158	0.44529545307159424	0.4627842903137207	0.460084468126297	465	0.4689370095729828	465	0.35280805826187134	465	0.35748448967933655	465	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	type	Hypoblast	4694	0.2615770409584843	0.4513266086578369	0.4233080744743347	0.4397509694099426	465	0.4426268935203552	465	0.32157203555107117	465	0.330291748046875	465	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Dorsal Forerunner Cells	29	0.0016160490387294511	0.49805355072021484	0.3235919773578644	0.4203675389289856	445	0.43860217928886414	447	0.24832969903945923	395	0.2576088309288025	388	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	EVL Animal	2009	0.11195319030370576	0.7309212684631348	0.8004084229469299	0.38109007477760315	465	0.38475334644317627	465	0.2684277594089508	464	0.26684069633483887	464	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	EVL Marginal	113	0.006297018668152689	0.6074432730674744	0.7064177393913269	0.40197184681892395	463	0.4161958694458008	464	0.24986335635185242	434	0.2442544847726822	432	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Dorsal Anterior	2022	0.11267762607968794	0.40314939618110657	0.33486032485961914	0.42391902208328247	464	0.44360896944999695	465	0.2481771856546402	457	0.24613067507743835	451	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Dorsal Posterior	1303	0.0726107550849819	0.4422872066497803	0.3337223529815674	0.4015951156616211	465	0.4209578037261963	465	0.21661294996738434	459	0.2262127846479416	458	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Lateral Anterior	874	0.04870437447757035	0.40362852811813354	0.33873191475868225	0.42202121019363403	465	0.43777379393577576	465	0.2374037355184555	459	0.2462746500968933	450	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Lateral Posterior	1483	0.08264140429088883	0.4144561290740967	0.32934698462486267	0.40491774678230286	464	0.42231810092926025	465	0.2076639086008072	455	0.2165718525648117	454	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Ventral Anterior	956	0.05327389244915018	0.3880479335784912	0.3151685893535614	0.39244645833969116	465	0.408769428730011	465	0.2154451459646225	457	0.2230922281742096	459	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderm Ventral Posterior	1568	0.08737809974923377	0.4049462080001831	0.32769784331321716	0.4135627746582031	464	0.42991894483566284	465	0.21785829961299896	461	0.21925777196884155	453	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Ectoderom Dorsal Margin	854	0.04758985789913625	0.4375389516353607	0.3523496985435486	0.3898707330226898	465	0.4074936509132385	465	0.21385197341442108	445	0.2273813635110855	455	465	hyperspatial_map_calibrated_fusion
75p_E1_to_E2	75% epiboly	clusters	Endoderm	468	0.026079687935358038	0.4704270362854004	0.3964146077632904	0.41098037362098694	465	0.4298646152019501	465	0.2506929636001587	458	0.2580798268318176	462	465	hyperspatial_map_calibrated_fusion
