case	stage	method	anchor_count	anchor_residual_rmse	anchor_residual_median_abs	anchor_residual_gene_sd_median	anchor_residual_moran_median	anchor_residual_moran_positive_fraction
50p_E1_to_E2	50% epiboly	HyperSpatial_MAP_frozen_registration	16	1.0344825983047483	0.5652048587799072	0.8204602003097534	0.1858131438493728	1.0
50p_E1_to_E2	50% epiboly	Spateo_Morpho_geometry_adapter	16	1.050183653831482	0.5708451867103577	0.8277257680892944	0.188818983733654	1.0
50p_E2_to_E1	50% epiboly	HyperSpatial_MAP_frozen_registration	16	1.192717432975769	0.6326460838317871	0.8152256011962891	0.2410418167710304	1.0
50p_E2_to_E1	50% epiboly	Spateo_Morpho_geometry_adapter	16	1.2252501249313354	0.650834321975708	0.8720067143440247	0.3172018378973007	1.0
75p_E1_to_E2	75% epiboly	HyperSpatial_MAP_frozen_registration	16	1.0367382764816284	0.5506186485290527	0.9294474124908448	0.299111008644104	1.0
75p_E1_to_E2	75% epiboly	Spateo_Morpho_geometry_adapter	16	1.1365509033203125	0.5861927270889282	1.011225700378418	0.36277075111866	1.0
75p_E2_to_E1	75% epiboly	HyperSpatial_MAP_frozen_registration	16	1.120157241821289	0.6164162755012512	0.9612313508987428	0.2595703899860382	1.0
75p_E2_to_E1	75% epiboly	Spateo_Morpho_geometry_adapter	16	1.2595601081848145	0.6516814231872559	1.0027999877929688	0.3261844962835312	1.0
6s_E1_to_E2	6-somite	HyperSpatial_MAP_frozen_registration	16	1.024741530418396	0.5020496845245361	0.9834319353103638	0.5679089426994324	1.0
6s_E1_to_E2	6-somite	Spateo_Morpho_geometry_adapter	16	1.0167375802993774	0.5003776550292969	0.9331191778182985	0.5551979839801788	1.0
6s_E2_to_E1	6-somite	HyperSpatial_MAP_frozen_registration	16	1.0897154808044434	0.5103124380111694	1.032540202140808	0.5768104493618011	1.0
6s_E2_to_E1	6-somite	Spateo_Morpho_geometry_adapter	16	1.0176777839660645	0.4817054867744446	0.9600077867507936	0.5268271565437317	1.0
