extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	budget	record_type	outer_fold	n_train_cells	n_test_cells	panel_genes	median_residual_pearson	mean_residual_mse	coverage_mean_max_squared_correlation	redundancy_mean_pairwise_squared_correlation	evaluation_unit
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	0	7403	1144	krt4,ism1,baz1b,efnb2a,sox32,pttg1,dynll2b,tbx3b	0.3618233771549407	0.3519537569988675	0.1426004986050311	0.039510436711008505	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	0	7403	1144	krt4,ism1,baz1b,efnb2a,sox32,pttg1,dynll2b,tbx3b,dnmt3bb.2,tmed2,foxd5,fbln2,nr2f2,h1-0,cdx4,kazald2	0.39028925849123913	0.33331177538038853	0.16271204953274898	0.02714288236561007	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	32	outer_fold	0	7403	1144	krt4,ism1,baz1b,efnb2a,sox32,pttg1,dynll2b,tbx3b,dnmt3bb.2,tmed2,foxd5,fbln2,nr2f2,h1-0,cdx4,kazald2,casz1,lhx5,si:ch211-113a14.18,snrpd3,nid2a,apoc1,skia,kdrl,fzd7b,bmp2b,irf2a,rreb1b,plekhg5b,itga6a,foxg1a,zeb2a	0.41658790454257155	0.31713739572790284	0.19535807628746918	0.017025029688062982	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	1	7501	1046	krt4,gata5,baz1b,cdkn1ca,ppp1r7,si:dkey-68o6.5,pttg1,dlx3b	0.33367342604043254	0.3555776438421163	0.14469436442533018	0.0477950084332528	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	1	7501	1046	krt4,gata5,baz1b,cdkn1ca,ppp1r7,si:dkey-68o6.5,pttg1,dlx3b,cdx4,sp8b,foxd5,tlcd5a,tmed2,efnb2a,tbx3b,her12	0.3762563935359032	0.3365665215758407	0.1655596249177431	0.03157435854841333	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	32	outer_fold	1	7501	1046	krt4,gata5,baz1b,cdkn1ca,ppp1r7,si:dkey-68o6.5,pttg1,dlx3b,cdx4,sp8b,foxd5,tlcd5a,tmed2,efnb2a,tbx3b,her12,kazald2,id3,her7,kmt2bb,dync1li1,crabp2b,fzd7b,rreb1b,raraa,plekhg5b,sall1a,nkx1.2la,tead1b,zeb2b,szl,tmed10	0.3941254571167208	0.32011096722669496	0.19640986597826723	0.016430031560904546	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	2	7494	1053	krt4,gata5,cdkn1ca,baz1b,cdx4,efnb2a,ppp1r7,dlx3b	0.25219117557635173	0.2854733713424469	0.14644839591405168	0.03671341930152915	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	2	7494	1053	krt4,gata5,cdkn1ca,baz1b,cdx4,efnb2a,ppp1r7,dlx3b,epcam,sall3a,skia,dnmt3bb.2,myclb,mespab,irx7,meis2a	0.27357001680502674	0.27885369342943195	0.1614953641823221	0.02309076695104109	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	32	outer_fold	2	7494	1053	krt4,gata5,cdkn1ca,baz1b,cdx4,efnb2a,ppp1r7,dlx3b,epcam,sall3a,skia,dnmt3bb.2,myclb,mespab,irx7,meis2a,hsp90aa1.2,pax6a,gli2a,plekhg5b,irf2a,her3,her7,mycn,nr2f2,rreb1b,ube2c,nip7,vsx2,irx5a,six3b,gadd45gip1	0.2956208466206276	0.26974241786730524	0.1941264042193408	0.013167503745856115	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	3	7516	1031	krt4,gata5,cdkn1ca,baz1b,efnb2a,tmed2,dnmt3bb.2,cdx4	0.24992644747469772	0.2951921836257777	0.1462126396169829	0.039336418052443534	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	3	7516	1031	krt4,gata5,cdkn1ca,baz1b,efnb2a,tmed2,dnmt3bb.2,cdx4,zgc:113424,dlx3b,dact2,epcam,plekhg5b,irx7,gadd45gip1,fzd7b	0.26519138598505393	0.2861190182017806	0.16503920154051702	0.027496233101728957	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	32	outer_fold	3	7516	1031	krt4,gata5,cdkn1ca,baz1b,efnb2a,tmed2,dnmt3bb.2,cdx4,zgc:113424,dlx3b,dact2,epcam,plekhg5b,irx7,gadd45gip1,fzd7b,mespab,sox2,sall1a,nr2f2,si:ch211-113a14.18,tmed10,tbx16l,her7,snrpd3,zic3,fn1b,ppan,mab21l2,cdh2,irx5a,pax6b	0.29304310968590486	0.2749239191713672	0.19628632563603002	0.015874901107897337	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	4	7555	992	krt4,gata5,cdkn1ca,cxcr4a,dnmt3bb.2,ppp1r7,nr2f2,efnb2a	0.3296475742179148	0.3776714812433156	0.15460250803047176	0.0424506449130942	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	4	7555	992	krt4,gata5,cdkn1ca,cxcr4a,dnmt3bb.2,ppp1r7,nr2f2,efnb2a,kdrl,unc5b,hsp90aa1.2,dlx3b,si:ch211-113a14.12,cdx4,dynll2b,ripply1	0.3594679248892396	0.36253619363299294	0.17063976077199244	0.022100785623001683	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	32	outer_fold	4	7555	992	krt4,gata5,cdkn1ca,cxcr4a,dnmt3bb.2,ppp1r7,nr2f2,efnb2a,kdrl,unc5b,hsp90aa1.2,dlx3b,si:ch211-113a14.12,cdx4,dynll2b,ripply1,tead1b,sp8b,fzd7b,fn1b,pax2a,ntd5,sox5,itga6a,otx2b,zgc:174154,her12,cnmd,id3,CU570769.1,skia,dmd	0.38280353573614095	0.3464802955496405	0.20143923448019238	0.012505787293429192	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	outer_fold	5	7455	1092	krt4,gata5,cdkn1ca,cxcr4a,efnb2a,mibp2,cdx4,epcam	0.34135951177071927	0.3313811814835273	0.15457544762482583	0.05224955290024882	source cells in one held-out spatial octant; genes are technical units
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	outer_fold	5	7455	1092	krt4,gata5,cdkn1ca,cxcr4a,efnb2a,mibp2,cdx4,epcam,drll.3,foxc1b,snrpd3,si:dkey-68o6.5,irf2a,kmt2bb,hivep2a,her7	0.3787290610629164	0.32078935151505633	0.16962486398909188	0.031298696534818544	source cells in one held-out spatial octant; genes are technical units
