fold	cohort	method	cells	ancestors	genes	rho_future_pooled	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	original_rho_future_pooled	residual_pearson_status	table	estimate	ci95_low	ci95_high	bootstrap_unit	replicates	original_estimate	status	observed	null_mean	null_ci_low	null_ci_high	empirical_p	permutations	ancestor_count	descendant_count	division_fraction	median_path_length	eligible	guard_stability_fraction	prediction_sha256	remaining_ancestors	remaining_descendants	removed_fraction	rho_future_disjoint	rho_future_full	rho_future_shared	gene	future_residual_pearson	final_pearson	final_spearman
A	full	B1_lineage_registered_idw	7028.0	0.0	479.0	0.0482005851250801	0.0306622888892889	0.034887034446001	0.0659557953476905	0.0648437560699251	1.1072237491607666	0.7513893842697144	0.1554794954658902	0.0482005851250801		primary_corrected																														
A	full	B2_lineage_early_map	7028.0	0.0	479.0				0.0863768979907035	0.0866809201325358	1.0845916271209717	0.736030638217926	0.2271139204309069	0.0	undefined: predicted residual is identically zero	primary_corrected																														
A	full	B3_mean_developmental_correction	7028.0	0.0	479.0	0.5604469545831109	0.0069180806167423	0.0	0.0864159911870956	0.0866801181663905	0.8974450826644897	0.6090283989906311	0.2271198775545763	0.5604469545831109		primary_corrected																														
A	full	B4_anchor_only_temporal	7028.0	0.0	479.0	0.5710638147916682	0.227670669555664	0.2160394191741943	0.1882497072219848	0.1848810818601493	0.8868418335914612	0.6018327474594116	0.1704976520910157	0.5710638147916682		primary_corrected																														
A	full	B5_trajectory_free_map_t	7028.0	0.0	479.0	0.4855720763844376	0.1057890579104423	0.1055714264512062	0.1079300642013549	0.0988220729761052	0.9752835035324096	0.6618514657020569	0.113636095354663	0.4855720763844376		primary_corrected																														
A	full	B6_trajectory_aware_map_t	7028.0	0.0	479.0	0.6205218131387544	0.2513715922832489	0.2029212117195129	0.2380766719579696	0.2299480936348209	0.8542231917381287	0.5796969532966614	0.2099513111953585	0.6205218131387544		primary_corrected																														
A	shared	B1_lineage_registered_idw	5381.0	0.0	479.0	0.0484013344075456	0.0286954045295715	0.0334264710545539	0.0638608783483505	0.0613340182373312	1.1061248779296875	0.74992436170578	0.1570192937333541	0.0484013344075456		primary_corrected																														
A	shared	B2_lineage_early_map	5381.0	0.0	479.0				0.080282874405384	0.0797019514990539	1.0841264724731443	0.735010027885437	0.2194399415072112	0.0	undefined: predicted residual is identically zero	primary_corrected																														
A	shared	B3_mean_developmental_correction	5381.0	0.0	479.0	0.5644967526943803	0.0071114595048129	0.0	0.0803207382559776	0.0796991231728124	0.8933390974998474	0.6056610345840454	0.2194399518889976	0.5644967526943803		primary_corrected																														
A	shared	B4_anchor_only_temporal	5381.0	0.0	479.0	0.5736533638150664	0.2268074005842209	0.213989108800888	0.1836102902889251	0.1785495728230277	0.8839930891990662	0.5993247032165527	0.1674221707731321	0.5736533638150664		primary_corrected																														
A	shared	B5_trajectory_free_map_t	5381.0	0.0	479.0	0.4840993050782776	0.0993853881955146	0.0987100377678871	0.099223680794239	0.088972565364096	0.9754153490066528	0.6613066792488098	0.1269115290449838	0.4840993050782776		primary_corrected																														
A	shared	B6_trajectory_aware_map_t	5381.0	0.0	479.0	0.6201365857312646	0.2446251213550567	0.1947111934423446	0.2295334339141845	0.2202953771243107	0.8536978960037231	0.5787853598594666	0.2184913529528938	0.6201365857312646		primary_corrected																														
A	disjoint	B1_lineage_registered_idw	1647.0	0.0	479.0	0.0467962881608668	0.0344837717711925	0.0365744940936565	0.0719645395874977	0.0748892373403432	1.110805630683899	0.7562301754951477	0.1491567690908561	0.0467962881608668		primary_corrected																														
A	disjoint	B2_lineage_early_map	1647.0	0.0	479.0				0.1042711287736892	0.1079550962173922	1.0861107110977173	0.7394179701805115	0.1792647079245177	0.0	undefined: predicted residual is identically zero	primary_corrected																														
A	disjoint	B3_mean_developmental_correction	1647.0	0.0	479.0	0.547371234335401	0.0081913936883211	0.0	0.1043140590190887	0.1079601544766787	0.9107308983802797	0.6200203895568848	0.1792647965132415	0.547371234335401		primary_corrected																														
A	disjoint	B4_anchor_only_temporal	1647.0	0.0	479.0	0.5625382168393298	0.2276747673749923	0.2145911157131195	0.2016731202602386	0.2037488927080166	0.8960862755775452	0.6100504398345947	0.1502702861938027	0.5625382168393298		primary_corrected																														
A	disjoint	B5_trajectory_free_map_t	1647.0	0.0	479.0	0.4901844000824791	0.1216253414750099	0.1113113313913345	0.1315994262695312	0.1266206270131839	0.9748522043228148	0.6636738181114197	0.1521853368812256	0.4901844000824791		primary_corrected																														
A	disjoint	B6_trajectory_aware_map_t	1647.0	0.0	479.0	0.6216892017638889	0.2658774256706238	0.222539484500885	0.259383887052536	0.2557701701886866	0.8559370636940002	0.5827170610427856	0.235132862327682	0.6216892017638889		primary_corrected																														
B	full	B1_lineage_registered_idw	6807.0	0.0	479.0	0.0788199230351386	0.0402483753859996	0.0382518172264099	0.0544981211423873	0.0526935121305522	1.1287907361984253	0.7594802379608154	0.1086169214839372	0.0788199230351386		primary_corrected																														
B	full	B2_lineage_early_map	6807.0	0.0	479.0				0.0685619637370109	0.0656477349963821	1.1109405755996704	0.7474701404571533	0.1762890152803465	0.0	undefined: predicted residual is identically zero	primary_corrected																														
B	full	B3_mean_developmental_correction	6807.0	0.0	479.0	0.5703981714955076	0.0126074058935046	3.1574192149719245e-08	0.0685684457421302	0.0656476654886656	0.9088463187217712	0.6114957928657532	0.1762890367821272	0.5703981714955076		primary_corrected																														
B	full	B4_anchor_only_temporal	6807.0	0.0	479.0	0.563769882606721	0.2138604074716568	0.2209943830966949	0.1477116048336029	0.1403343912490211	0.9153354167938232	0.6158618330955505	0.1625008459929792	0.563769882606721		primary_corrected																														
B	full	B5_trajectory_free_map_t	6807.0	0.0	479.0	0.4962461194770954	0.1259233206510543	0.1399082243442535	0.1079934388399124	0.1004442617335194	0.9753140807151794	0.656217098236084	0.1170755839377047	0.4962461194770954		primary_corrected																														
B	full	B6_trajectory_aware_map_t	6807.0	0.0	479.0	0.6196155894705728	0.2718543410301208	0.2369272261857986	0.2322239577770233	0.2258201334268128	0.8689002990722656	0.5846190452575684	0.1565153978464782	0.6196155894705728		primary_corrected																														
B	shared	B1_lineage_registered_idw	5373.0	0.0	479.0	0.0781426821878009	0.0352674759924411	0.03035094961524	0.0519827120006084	0.0498451348019798	1.1278706789016724	0.7591942548751831	0.1078708199555809	0.0781426821878009		primary_corrected																														
B	shared	B2_lineage_early_map	5373.0	0.0	479.0				0.0680747553706169	0.0643267747185388	1.1102477312088013	0.7473318576812744	0.1802258115862082	0.0	undefined: predicted residual is identically zero	primary_corrected																														
B	shared	B3_mean_developmental_correction	5373.0	0.0	479.0	0.5713732852466066	0.0125797279179096	2.8673225571651528e-08	0.0680508315563201	0.06432677026936	0.9073227047920228	0.6107386350631714	0.1802257833303877	0.5713732852466066		primary_corrected																														
B	shared	B4_anchor_only_temporal	5373.0	0.0	479.0	0.5642517705573936	0.208099365234375	0.2138387709856033	0.146322414278984	0.137758040232311	0.9138692021369934	0.615145206451416	0.1542748469146591	0.5642517705573936		primary_corrected																														
B	shared	B5_trajectory_free_map_t	5373.0	0.0	479.0	0.4921008209052998	0.1191966161131858	0.1283397674560547	0.1058995500206947	0.0969418557852911	0.9776606559753418	0.6580846309661865	0.1067377930952185	0.4921008209052998		primary_corrected																														
B	shared	B6_trajectory_aware_map_t	5373.0	0.0	479.0	0.6180852453736199	0.2665964961051941	0.2303591817617416	0.2300216108560562	0.2221556546515611	0.8692090511322021	0.5850834846496582	0.1540713864288055	0.6180852453736199		primary_corrected																														
B	disjoint	B1_lineage_registered_idw	1434.0	0.0	479.0	0.0794439140309472	0.0500300638377666	0.0505065098404884	0.0622463151812553	0.0616305711580235	1.1322319507598877	0.7605496048927307	0.0985027071195225	0.0794439140309472		primary_corrected																														
B	disjoint	B2_lineage_early_map	1434.0	0.0	479.0				0.0696446299552917	0.0685706013981848	1.1135337352752686	0.7479895353317261	0.1474424390089067	0.0	undefined: predicted residual is identically zero	primary_corrected																														
B	disjoint	B3_mean_developmental_correction	1434.0	0.0	479.0	0.5669939840760185	0.0137914149090647	1.2602707322173501e-08	0.0697401612997055	0.0685679417472606	0.9145325422286988	0.6143152713775635	0.147442502667068	0.5669939840760185		primary_corrected																														
B	disjoint	B4_anchor_only_temporal	1434.0	0.0	479.0	0.5616281529041204	0.2267193347215652	0.2381422221660614	0.1509546339511871	0.1469234817165252	0.9208070635795592	0.6185300350189209	0.1301114442023469	0.5616281529041204		primary_corrected																														
B	disjoint	B5_trajectory_free_map_t	1434.0	0.0	479.0	0.5112878091266094	0.1440119445323944	0.1523040533065796	0.1148808002471923	0.1121499592124579	0.9664708971977234	0.6492035984992981	0.1316500320537656	0.5112878091266094		primary_corrected																														
B	disjoint	B6_trajectory_aware_map_t	1434.0	0.0	479.0	0.624934739009537	0.2848201692104339	0.2539496123790741	0.2383245229721069	0.2366417789901373	0.8677417635917664	0.582884669303894	0.156821937888636	0.624934739009537		primary_corrected																														
A	full	B1_lineage_registered_idw														bootstrap_corrected	0.0482205791955543	0.0441235562230699	0.0526067415338076	TM0_ancestor_family	2000.0	0.0482205791955543																								
A	full	B2_lineage_early_map														bootstrap_corrected				TM0_ancestor_family	2000.0	0.0	undefined constant predicted residual																							
A	full	B3_mean_developmental_correction														bootstrap_corrected	0.5604431424095526	0.5583022816305947	0.5626565179337558	TM0_ancestor_family	2000.0	0.5604431424095526																								
A	full	B4_anchor_only_temporal														bootstrap_corrected	0.5710709499365277	0.5684349845265539	0.573727727155251	TM0_ancestor_family	2000.0	0.5710709499365277																								
A	full	B5_trajectory_free_map_t														bootstrap_corrected	0.4856365812437332	0.4797370559421436	0.4915817624920879	TM0_ancestor_family	2000.0	0.4856365812437332																								
A	full	B6_trajectory_aware_map_t														bootstrap_corrected	0.620538628827308	0.6167302911868999	0.6244225436158766	TM0_ancestor_family	2000.0	0.620538628827308																								
A	shared	B1_lineage_registered_idw														bootstrap_corrected	0.0483473670876652	0.0435658709432847	0.0532855997288182	TM0_ancestor_family	2000.0	0.0483473670876652																								
