direction	donor	adjacent_pair	eligible_nonanchor_genes	guard_supported_genes	idw_fallback_genes	guard_supported_fraction	idw_fallback_fraction
151507_to_151508	Br5292	Br5292_pos0	6708	3064	3644	0.456768038163387	0.543231961836613
151508_to_151507	Br5292	Br5292_pos0	5828	2190	3638	0.37577213452299246	0.6242278654770076
151509_to_151510	Br5292	Br5292_pos300	6852	3896	2956	0.5685931115002919	0.4314068884997081
151510_to_151509	Br5292	Br5292_pos300	6575	3549	3026	0.5397718631178707	0.46022813688212927
151669_to_151670	Br5595	Br5595_pos0	7970	3908	4062	0.4903387703889586	0.5096612296110414
151670_to_151669	Br5595	Br5595_pos0	7625	3806	3819	0.49914754098360653	0.5008524590163934
151671_to_151672	Br5595	Br5595_pos300	8201	4229	3972	0.515668820875503	0.484331179124497
151672_to_151671	Br5595	Br5595_pos300	7846	4098	3748	0.5223043589089982	0.47769564109100177
151673_to_151674	Br8100	Br8100_pos0	9185	3831	5354	0.4170930865541644	0.5829069134458356
151674_to_151673	Br8100	Br8100_pos0	10346	4785	5561	0.4624975836071912	0.5375024163928088
151675_to_151676	Br8100	Br8100_pos300	8231	3181	5050	0.38646580002429837	0.6135341999757016
151676_to_151675	Br8100	Br8100_pos300	8552	3244	5308	0.3793264733395697	0.6206735266604303
