direction	donor	adjacent_pair	selected_predictor	gene_count	fraction_of_eligible_nonanchors
151507_to_151508	Br5292	Br5292_pos0	IDW fallback	3644	0.543231961836613
151507_to_151508	Br5292	Br5292_pos0	anchor-only	2330	0.34734645199761477
151507_to_151508	Br5292	Br5292_pos0	calibrated mixture	733	0.10927251043530113
151507_to_151508	Br5292	Br5292_pos0	global residual	1	0.0001490757304710793
151508_to_151507	Br5292	Br5292_pos0	IDW fallback	3638	0.6242278654770076
151508_to_151507	Br5292	Br5292_pos0	anchor-only	1726	0.29615648592999316
151508_to_151507	Br5292	Br5292_pos0	calibrated mixture	464	0.07961564859299931
151509_to_151510	Br5292	Br5292_pos300	IDW fallback	2956	0.4314068884997081
151509_to_151510	Br5292	Br5292_pos300	anchor-only	2948	0.4302393461762989
151509_to_151510	Br5292	Br5292_pos300	calibrated mixture	948	0.138353765323993
151510_to_151509	Br5292	Br5292_pos300	IDW fallback	3026	0.46022813688212927
151510_to_151509	Br5292	Br5292_pos300	anchor-only	2558	0.38904942965779465
151510_to_151509	Br5292	Br5292_pos300	calibrated mixture	991	0.15072243346007605
151669_to_151670	Br5595	Br5595_pos0	IDW fallback	4062	0.5096612296110414
151669_to_151670	Br5595	Br5595_pos0	anchor-only	2898	0.36361355081555835
151669_to_151670	Br5595	Br5595_pos0	calibrated mixture	1010	0.12672521957340024
151670_to_151669	Br5595	Br5595_pos0	IDW fallback	3819	0.5008524590163934
151670_to_151669	Br5595	Br5595_pos0	anchor-only	2840	0.37245901639344264
151670_to_151669	Br5595	Br5595_pos0	calibrated mixture	966	0.12668852459016394
151671_to_151672	Br5595	Br5595_pos300	IDW fallback	3972	0.484331179124497
151671_to_151672	Br5595	Br5595_pos300	anchor-only	3252	0.39653700768199
151671_to_151672	Br5595	Br5595_pos300	calibrated mixture	977	0.11913181319351299
151672_to_151671	Br5595	Br5595_pos300	IDW fallback	3748	0.47769564109100177
151672_to_151671	Br5595	Br5595_pos300	anchor-only	3029	0.3860565893448891
151672_to_151671	Br5595	Br5595_pos300	calibrated mixture	1067	0.13599286260514912
151672_to_151671	Br5595	Br5595_pos300	local residual	2	0.0002549069589599796
151673_to_151674	Br8100	Br8100_pos0	IDW fallback	5354	0.5829069134458356
151673_to_151674	Br8100	Br8100_pos0	anchor-only	2693	0.29319542732716386
151673_to_151674	Br8100	Br8100_pos0	calibrated mixture	1124	0.12237343494828525
151673_to_151674	Br8100	Br8100_pos0	global residual	12	0.00130647795318454
151673_to_151674	Br8100	Br8100_pos0	local residual	2	0.00021774632553075667
151674_to_151673	Br8100	Br8100_pos0	IDW fallback	5561	0.5375024163928088
151674_to_151673	Br8100	Br8100_pos0	anchor-only	3331	0.3219601778465107
151674_to_151673	Br8100	Br8100_pos0	calibrated mixture	1447	0.13986081577421225
151674_to_151673	Br8100	Br8100_pos0	global residual	6	0.0005799342741156003
151674_to_151673	Br8100	Br8100_pos0	local residual	1	9.665571235260003e-05
151675_to_151676	Br8100	Br8100_pos300	IDW fallback	5050	0.6135341999757016
151675_to_151676	Br8100	Br8100_pos300	anchor-only	2325	0.2824687158303973
151675_to_151676	Br8100	Br8100_pos300	calibrated mixture	854	0.10375410035232657
151675_to_151676	Br8100	Br8100_pos300	global residual	2	0.0002429838415745353
151676_to_151675	Br8100	Br8100_pos300	IDW fallback	5308	0.6206735266604303
151676_to_151675	Br8100	Br8100_pos300	anchor-only	2227	0.2604069223573433
151676_to_151675	Br8100	Br8100_pos300	calibrated mixture	1012	0.11833489242282506
151676_to_151675	Br8100	Br8100_pos300	global residual	5	0.0005846585594013096
