direction	position	gene_id	gene_name	source_section	target_section	donor	adjacent_pair
151507_to_151508	1	ENSG00000131095	GFAP	151507	151508	Br5292	Br5292_pos0
151507_to_151508	2	ENSG00000123560	PLP1	151507	151508	Br5292	Br5292_pos0
151507_to_151508	3	ENSG00000110484	SCGB2A2	151507	151508	Br5292	Br5292_pos0
151507_to_151508	4	ENSG00000132639	SNAP25	151507	151508	Br5292	Br5292_pos0
151507_to_151508	5	ENSG00000170323	FABP4	151507	151508	Br5292	Br5292_pos0
151507_to_151508	6	ENSG00000154146	NRGN	151507	151508	Br5292	Br5292_pos0
151507_to_151508	7	ENSG00000211892	IGHG4	151507	151508	Br5292	Br5292_pos0
151507_to_151508	8	ENSG00000143153	ATP1B1	151507	151508	Br5292	Br5292_pos0
151507_to_151508	9	ENSG00000170345	FOS	151507	151508	Br5292	Br5292_pos0
151507_to_151508	10	ENSG00000131711	MAP1B	151507	151508	Br5292	Br5292_pos0
151507_to_151508	11	ENSG00000185551	NR2F2	151507	151508	Br5292	Br5292_pos0
151507_to_151508	12	ENSG00000211890	IGHA2	151507	151508	Br5292	Br5292_pos0
151507_to_151508	13	ENSG00000096063	SRPK1	151507	151508	Br5292	Br5292_pos0
151507_to_151508	14	ENSG00000178922	HYI	151507	151508	Br5292	Br5292_pos0
151507_to_151508	15	ENSG00000235194	PPP1R3E	151507	151508	Br5292	Br5292_pos0
151507_to_151508	16	ENSG00000157450	RNF111	151507	151508	Br5292	Br5292_pos0
151508_to_151507	1	ENSG00000131095	GFAP	151508	151507	Br5292	Br5292_pos0
151508_to_151507	2	ENSG00000110484	SCGB2A2	151508	151507	Br5292	Br5292_pos0
151508_to_151507	3	ENSG00000132639	SNAP25	151508	151507	Br5292	Br5292_pos0
151508_to_151507	4	ENSG00000123560	PLP1	151508	151507	Br5292	Br5292_pos0
151508_to_151507	5	ENSG00000170323	FABP4	151508	151507	Br5292	Br5292_pos0
151508_to_151507	6	ENSG00000154146	NRGN	151508	151507	Br5292	Br5292_pos0
151508_to_151507	7	ENSG00000211897	IGHG3	151508	151507	Br5292	Br5292_pos0
151508_to_151507	8	ENSG00000170345	FOS	151508	151507	Br5292	Br5292_pos0
151508_to_151507	9	ENSG00000139629	GALNT6	151508	151507	Br5292	Br5292_pos0
151508_to_151507	10	ENSG00000149591	TAGLN	151508	151507	Br5292	Br5292_pos0
151508_to_151507	11	ENSG00000101247	NDUFAF5	151508	151507	Br5292	Br5292_pos0
151508_to_151507	12	ENSG00000238045	AC009133.1	151508	151507	Br5292	Br5292_pos0
151508_to_151507	13	ENSG00000019144	PHLDB1	151508	151507	Br5292	Br5292_pos0
151508_to_151507	14	ENSG00000105143	SLC1A6	151508	151507	Br5292	Br5292_pos0
151508_to_151507	15	ENSG00000120451	SNX19	151508	151507	Br5292	Br5292_pos0
151508_to_151507	16	ENSG00000146469	VIP	151508	151507	Br5292	Br5292_pos0
151509_to_151510	1	ENSG00000131095	GFAP	151509	151510	Br5292	Br5292_pos300
151509_to_151510	2	ENSG00000123560	PLP1	151509	151510	Br5292	Br5292_pos300
151509_to_151510	3	ENSG00000154146	NRGN	151509	151510	Br5292	Br5292_pos300
151509_to_151510	4	ENSG00000110484	SCGB2A2	151509	151510	Br5292	Br5292_pos300
151509_to_151510	5	ENSG00000173432	SAA1	151509	151510	Br5292	Br5292_pos300
151509_to_151510	6	ENSG00000171617	ENC1	151509	151510	Br5292	Br5292_pos300
151509_to_151510	7	ENSG00000143153	ATP1B1	151509	151510	Br5292	Br5292_pos300
