disease	biopsy	array	coordinate_core	fibrosis_stage	fibrosis_group	target_spots_deposited	geometry_supported_spots_pre_qc	target_spots_evaluated	hidden_genes	anchor_count	correction_magnitude_mean_abs_log1p	guard_fallback_gene_fraction	median_spatial_idw	median_spatial_map	log1p_rmse_idw	log1p_rmse_map	median_residual_pearson_map	pooled_residual_pearson_map	fraction_map_gt_idw_spatial	fraction_map_lt_idw_rmse	fraction_positive_map_residual
MASLD	VLP115_A_C1	VLP115_A	1	F1	early	351	148	90	6808	16	0.07816433906555176	0.3679189903140593	-0.01512197881955353	0.04873117324881731	0.4487331211566925	0.4115443527698517	0.4286265812647412	0.4129627902674821	0.4537309048178613	0.560957696827262	0.6288190364277321
MASLD	VLP115_A_C2	VLP115_A	2	F1	early	710	274	271	6808	16	0.07656250149011612	0.3679189903140593	-0.00868820633849917	0.01822620728796661	0.4443557858467102	0.41017091274261475	0.42410639511923215	0.3767363319346424	0.4249412455934195	0.6013513513513513	0.6321974148061105
MASLD	VLP115_A_C3	VLP115_A	3	F1	early	260	127	127	6808	16	0.07557085156440735	0.3679189903140593	-0.013640150806965132	0.01456747446073375	0.4197402596473694	0.38512903451919556	0.44399592161397505	0.386302928847506	0.39350763807285544	0.5887191539365453	0.6317567567567568
MASLD	VLP115_A_C4	VLP115_A	4	F3b	late	423	154	125	6808	16	0.07783811539411545	0.3679189903140593	-0.01491097529535571	0.031402656503296	0.4323504865169525	0.40249884128570557	0.4469200252980937	0.38074009102954376	0.4361045828437133	0.5633078730904818	0.6308754406580493
MASLD	VLP116_D_C1	VLP116_D	1	F0	early	368	200	200	6811	16	0.07785438746213913	0.3679189903140593	-0.0038136403677824864	0.06362521186498894	0.3954336941242218	0.36413493752479553	0.47295856527236246	0.4183202776268384	0.5122595800910292	0.5767141388929673	0.6322125972691235
MASLD	VLP116_D_C2	VLP116_D	2	F3a	intermediate	343	113	113	6811	16	0.07256820052862167	0.3679189903140593	-0.001858163536791114	0.0693980348757541	0.41589757800102234	0.3975752294063568	0.4622019058790525	0.35974984203750643	0.4903832036411687	0.5313463514902363	0.6316253119953017
MASLD	VLP116_D_C3	VLP116_D	3	F4	late	838	317	317	6811	16	0.08222341537475586	0.3679189903140593	-0.00578137873547227	0.052917074322728394	0.46048304438591003	0.436955988407135	0.4202779009388353	0.37262264942918394	0.5375128468653648	0.5492585523418	0.6322125972691235
MASLD	VLP116_D_C4	VLP116_D	4	F3b	late	624	256	256	6811	16	0.07310943305492401	0.3679189903140593	-0.0024309175088796067	0.01280358202412108	0.43288737535476685	0.4098217785358429	0.40151017733207783	0.33685046183947154	0.3785053589781236	0.5670239318749082	0.6319189546322126
MASLD	VLP119_A_C1	VLP119_A	1	F1	early	232	60	59	6811	16	0.06987673044204712	0.3679189903140593	-0.018421358859063906	0.034709648313420896	0.4072715640068054	0.3886224627494812	0.43411547018695135	0.3410007776703287	0.4061077668477463	0.5157832917339598	0.6253119953017178
MASLD	VLP119_A_C2	VLP119_A	2	F3b	late	444	173	173	6811	16	0.07624678313732147	0.3679189903140593	-0.006286181604625249	0.05017991856228056	0.40240299701690674	0.37562617659568787	0.46965425262605326	0.38816290267317116	0.49023638232271327	0.5708412861547497	0.6316253119953017
MASLD	VLP119_A_C3	VLP119_A	3	F2	intermediate	300	78	78	6811	16	0.06940658390522003	0.3679189903140593	-0.01222500708890768	0.026958685595807372	0.3622290790081024	0.33872291445732117	0.4737909921236492	0.38736577095027686	0.40214359124944943	0.5517545147555425	0.6310380267214799
MASLD	VLP119_A_C4	VLP119_A	4	F1	early	84	19	19	6811	16	0.06652723997831345	0.3679189903140593	-0.04728311322927102	0.02567013299013719	0.36315926909446716	0.33911070227622986	0.4700199818027589	0.3655478359775622	0.34503009837028337	0.4930259873733666	0.5906621641462341
MASLD	VLP119_A_C5	VLP119_A	5	F1	early	631	270	270	6811	16	0.07242302596569061	0.3679189903140593	-0.0027145689600465792	0.02784966536692112	0.4240298569202423	0.40497615933418274	0.4209320838024936	0.3303213705362236	0.4511819116135663	0.5714285714285714	0.6319189546322126
MASLD	VLP119_D_C1	VLP119_D	1	F1	early	196	78	78	6806	16	0.07686992734670639	0.3679189903140593	-0.011401746869744732	0.08794105848061139	0.4171597957611084	0.3934502601623535	0.46267895562896455	0.39442122421326525	0.5030855127828386	0.5257126065236556	0.6304731119600353
MASLD	VLP119_D_C2	VLP119_D	2	F1	early	410	151	151	6806	16	0.07174485176801682	0.3679189903140593	-0.005303745901929351	0.025168749278765907	0.4106332063674927	0.38894322514533997	0.4456860103081183	0.3496421198365515	0.41140170437848955	0.5599471054951514	0.6320893329415221
MASLD	VLP119_D_C3	VLP119_D	3	F1	early	163	63	63	6806	16	0.07026300579309464	0.3679189903140593	-0.010662197663995341	0.04689808861262295	0.4520229995250702	0.4390800893306732	0.4006613626434141	0.30424019523423923	0.42668233911254777	0.4894210990302674	0.6234205113135469
MASLD	VLP119_D_C4	VLP119_D	4	F4	late	508	283	283	6806	16	0.076446533203125	0.3679189903140593	-0.0031380498721255857	0.030508442345586674	0.47477442026138306	0.45663562417030334	0.3887259904742498	0.32209756885360347	0.45885982956215104	0.547898912724067	0.6323831913017925
MASLD	VLP120_A_C1	VLP120_A	1	F0	early	306	82	82	6813	16	0.07167128473520279	0.3679189903140593	-0.007156311390530127	0.039755833178615085	0.4018869996070862	0.3890484571456909	0.47751526876213973	0.3430312108804857	0.4202260384558931	0.49111991780419784	0.6318802289740203
MASLD	VLP120_A_C2	VLP120_A	2	F0	early	421	156	156	6813	16	0.07233493775129318	0.3679189903140593	-0.0030891541817822965	0.04039602688861894	0.3880528509616852	0.37563854455947876	0.5037374951247379	0.34634772687120147	0.4503155731689417	0.5266402465874064	0.6321737854102452
MASLD	VLP120_A_C3	VLP120_A	3	F3a	intermediate	575	202	202	6813	16	0.07531501352787018	0.3679189903140593	-0.002975190364534851	0.035777526640017834	0.3990814685821533	0.37970930337905884	0.4914083201221495	0.37411736459010986	0.4547189197123147	0.5483634228680464	0.6321737854102452
MASLD	VLP120_A_C4	VLP120_A	4	F4	late	582	184	184	6813	16	0.07690875232219696	0.3679189903140593	0.0013489146700694475	0.0752339996978938	0.45030125975608826	0.43340590596199036	0.4284893472314746	0.34595714270584965	0.531924262439454	0.515631880228974	0.6321737854102452
MASLD	VLP120_D_C1	VLP120_D	1	F3b	late	429	151	151	6813	16	0.07227198779582977	0.3679189903140593	-0.005068282314486659	0.04054141898851524	0.39780211448669434	0.37701475620269775	0.4419801634679989	0.35836024977840886	0.4545721414942023	0.5548216644649934	0.6318802289740203
MASLD	VLP120_D_C2	VLP120_D	2	F2	intermediate	620	245	245	6813	16	0.07687817513942719	0.3679189903140593	-0.00290962859759683	0.03708760912192284	0.4385479986667633	0.4253414273262024	0.4425459595643539	0.33260715354128184	0.46851607221488334	0.5166593277557611	0.6321737854102452
MASLD	VLP120_D_C3	VLP120_D	3	F1	early	608	200	200	6813	16	0.07396557927131653	0.3679189903140593	-0.006116003738827428	0.026868183910213082	0.42239126563072205	0.39923691749572754	0.4157487541173286	0.3458989532012476	0.431381183032438	0.571994715984148	0.6321737854102452
MASLD	VLP121_A_C1	VLP121_A	1	F2	intermediate	334	140	140	6812	16	0.07713500410318375	0.3679189903140593	-0.00696560142591656	0.055355626996402424	0.3526385724544525	0.32106614112854004	0.5681130464892545	0.44523910273645007	0.48546682325308277	0.5817674691720494	0.6321197886083382
MASLD	VLP121_A_C2	VLP121_A	2	F4	late	465	187	185	6812	16	0.07741474360227585	0.3679189903140593	-0.0019493586308626347	0.06812848641653542	0.39835646748542786	0.3747423589229584	0.47152302967110427	0.4012347145813989	0.5196711685261304	0.5334703464474457	0.6321197886083382
MASLD	VLP121_A_C3	VLP121_A	3	F4	late	594	215	215	6812	16	0.07835676521062851	0.3679189903140593	-0.004037603286006299	0.07277012547086728	0.3901906907558441	0.3605033755302429	0.5255366890657152	0.4365185185694493	0.5374339401056958	0.5716382853787434	0.6321197886083382
MASLD	VLP121_A_C4	VLP121_A	4	F4	late	137	51	51	6812	16	0.06937076896429062	0.3679189903140593	0.0017579370433577553	0.07612321074736901	0.4697861075401306	0.460699200630188	0.40960289024721097	0.29868683237666394	0.4543452730475631	0.46697005284791543	0.6222842043452731
MASLD	VLP121_D_C1	VLP121_D	1	F4	late	361	155	155	6810	16	0.07488610595464706	0.3679189903140593	-0.0065495128123063545	0.041949426935617776	0.4247971475124359	0.39846673607826233	0.4074152953163422	0.3628903978045179	0.46079295154185024	0.5638766519823789	0.6317180616740088
MASLD	VLP121_D_C2	VLP121_D	2	F0	early	405	161	161	6810	16	0.07355279475450516	0.3679189903140593	-0.008511984103090247	0.02366349690522741	0.4484436810016632	0.4372245967388153	0.4038870133230491	0.29870513176404667	0.4183553597650514	0.5026431718061674	0.6318649045521292
MASLD	VLP121_D_C3	VLP121_D	3	F0	early	197	81	81	6810	16	0.07074146717786789	0.3679189903140593	-0.00760036941120857	0.022695207317383746	0.4631463885307312	0.4533064365386963	0.37442294278716837	0.27841624732136194	0.3765051395007342	0.46960352422907486	0.6256975036710719
MASLD	VLP121_D_C4	VLP121_D	4	F3b	late	286	135	135	6810	16	0.07767077535390854	0.3679189903140593	-0.005921698892868616	0.06913010704037414	0.4502795338630676	0.42720451951026917	0.4245851580973942	0.36780970195895796	0.5060205580029369	0.5384728340675478	0.6303964757709251
MASLD	VLP121_D_C5	VLP121_D	5	F3b	late	434	166	165	6810	16	0.0762268602848053	0.3679189903140593	-0.007699289001577738	0.03136674896923841	0.4390694797039032	0.4178968667984009	0.432735598691252	0.35279106215109496	0.4447870778267254	0.5481644640234948	0.6318649045521292
