patient	sample	program	predeclared_genes	available_hidden_genes	n_available	spatial_residual_pearson	measured_mean_residual	predicted_mean_residual
Sah73	Sah73	inflammatory_immune_response	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;FCGR3A;CTSS	CCL2;NFKBIA;S100A9;LYZ;FCGR3A;CTSS	6	0.4050536312389033	0.24997378885746002	-0.030241919681429863
Sah73	Sah73	hepatocyte_injury_stress	KRT8;KRT18;KRT19;ANXA2;CXCL1;SERPINA1;HMOX1;DDIT3;ATF3	KRT8;ANXA2;HMOX1;DDIT3;ATF3	5	0.5379882144843379	0.09564170241355896	-0.04032012075185776
Sah73	Sah73	regenerative_response	PCNA;MKI67;TOP2A;TUBB;SOX9;EPCAM;KRT7;KRT19;AXIN2;MYC	PCNA;TUBB;KRT7;MYC	4	0.5935377484518889	-0.1343703716993332	-0.025827158242464066
Sah73	Sah73	fibrosis_ecm	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;ACTA2;TAGLN	9	0.7617415408404637	0.43971332907676697	0.02859310992062092
Sah73	Sah73	metabolic_dysfunction	CYP2E1;CYP3A4;ALDOB;PCK1;G6PC;CPS1;ASS1;HAL;APOB;MTTP;PPARA;CPT1A	CYP3A4;PCK1;G6PC;CPS1;ASS1;HAL;MTTP;PPARA;CPT1A	9	0.7774838170309621	-0.9004766941070557	-0.2956960201263428
Sah80	Sah80	inflammatory_immune_response	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;FCGR3A;CTSS	CCL2;NFKBIA;S100A9;LYZ;FCGR3A;CTSS	6	0.5380171676340888	0.33889201283454895	0.04722036048769951
Sah80	Sah80	hepatocyte_injury_stress	KRT8;KRT18;KRT19;ANXA2;CXCL1;SERPINA1;HMOX1;DDIT3;ATF3	KRT8;ANXA2;HMOX1;DDIT3;ATF3	5	0.5454784929634181	0.5728932023048401	0.055288199335336685
Sah80	Sah80	regenerative_response	PCNA;MKI67;TOP2A;TUBB;SOX9;EPCAM;KRT7;KRT19;AXIN2;MYC	PCNA;TUBB;KRT7;MYC	4	0.4913153908661242	0.14222219586372375	0.039781197905540466
Sah80	Sah80	fibrosis_ecm	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;ACTA2;TAGLN	9	0.7675628050395272	1.0314736366271973	0.18886598944664001
Sah80	Sah80	metabolic_dysfunction	CYP2E1;CYP3A4;ALDOB;PCK1;G6PC;CPS1;ASS1;HAL;APOB;MTTP;PPARA;CPT1A	CYP3A4;PCK1;G6PC;CPS1;ASS1;HAL;MTTP;PPARA;CPT1A	9	0.7606998163067233	-0.8103771209716797	-0.3294360041618347
