biopsy	array	fibrosis_stage	program	predeclared_genes	available_hidden_genes	n_available	spatial_residual_pearson	measured_mean_residual	predicted_mean_residual
VLP115_A_C1	VLP115_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6896071967086174	-0.18226848542690277	-0.16369380056858063
VLP115_A_C1	VLP115_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.7507460747714564	-0.37207260727882385	-0.32919666171073914
VLP115_A_C1	VLP115_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.4359125038193743	0.19529873132705688	-0.021288245916366577
VLP115_A_C1	VLP115_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.8063398914495891	0.1600501984357834	0.06982231885194778
VLP115_A_C1	VLP115_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.8021963292374199	-0.7303119897842407	-0.49790793657302856
VLP115_A_C2	VLP115_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.4434897894700796	-0.13038213551044464	-0.13783763349056244
VLP115_A_C2	VLP115_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5481922953668649	-0.3279144763946533	-0.2798553705215454
VLP115_A_C2	VLP115_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5583594698716486	0.006207720376551151	-0.07936979830265045
VLP115_A_C2	VLP115_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7649952545835036	-0.08608326315879822	-0.04856743663549423
VLP115_A_C2	VLP115_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.5777537777565288	-0.7779169082641602	-0.4579397141933441
VLP115_A_C3	VLP115_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.3682600367597548	-0.12045833468437195	-0.13473708927631378
VLP115_A_C3	VLP115_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5255364969487241	-0.32079607248306274	-0.2752314805984497
VLP115_A_C3	VLP115_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.4052175411889301	0.029947977513074875	-0.08015436679124832
VLP115_A_C3	VLP115_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.6894147632070708	-0.08227389305830002	-0.0684991255402565
VLP115_A_C3	VLP115_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.5442709095822463	-0.7580655217170715	-0.4506632685661316
VLP115_A_C4	VLP115_A	F3b	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.4541388285572039	0.06947886198759079	-0.12755928933620453
VLP115_A_C4	VLP115_A	F3b	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5836849154201527	-0.07262378185987473	-0.2622936964035034
VLP115_A_C4	VLP115_A	F3b	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.6817573526470158	-0.05319464951753616	-0.08373888581991196
VLP115_A_C4	VLP115_A	F3b	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.8905260770014162	-0.06095423176884651	-0.0677679106593132
