selection_order,gene,gene_index,source_prevalence,source_log1p_variance
1,Ctxn1,530,0.9755275179464868,0.59300256
2,Slc17a7,136,0.9487709375679791,0.9522436
3,Mal,55,0.961714161409615,0.8778869
4,Penk,27,0.8861213835109855,1.4830393
5,Ccdc153,75,0.07363497933434848,0.08985966
6,Ndn,287,0.9788992821405265,0.51391673
7,Fmod,118,0.11148575157711552,0.13398649
8,Prkcd,13,0.5045681966499891,0.82971805
9,Gabra1,770,0.9607352621274744,0.47321272
10,Calml4,40,0.056776158364150536,0.056813393
11,Sparc,189,0.9772677833369589,0.9037536
12,Arpp21,171,0.9291929519251686,0.8714976
13,Baiap3,122,0.3779638894931477,0.45297137
14,Gng8,10,0.16227974766151837,0.13426942
15,Nptxr,80,0.9398520774418099,0.7044952
16,Acta2,95,0.1895801609745486,0.19177282
