gene,gene_index,MAP_spatial_pearson,CONCERT_spatial_pearson,MAP_residual_pearson,CONCERT_residual_pearson,MAP_log1p_rmse,CONCERT_log1p_rmse,MAP_minus_CONCERT_spatial_pearson,MAP_minus_CONCERT_residual_pearson,favorable_MAP_minus_CONCERT_RMSE
1110017D15Rik,410,0.41793406,0.0020579016,0.7443325,0.64939624,0.30273232,0.3574486,0.41587615,0.09493625,0.05471629
1700007K13Rik,603,0.4366891,0.023369854,0.72907895,0.61959004,0.2637177,0.31348917,0.41331926,0.109488904,0.049771458
1700016K19Rik,1438,0.3836092,0.015726529,0.73431987,0.6677696,0.18400176,0.20665021,0.36788267,0.066550255,0.022648454
1700047M11Rik,1488,0.3273866,0.11526257,0.6470668,0.60124844,0.38233277,0.4045105,0.21212402,0.04581833,0.022177726
1700094D03Rik,274,0.3612013,0.0039288695,0.7140464,0.6287056,0.35115388,0.40662897,0.35727242,0.0853408,0.055475086
2010204K13Rik,890,0.47596112,0.19210513,0.7141059,0.5979448,0.55038327,0.65325695,0.28385597,0.11616111,0.10287368
2010300C02Rik,421,0.6596444,0.064511865,0.8080786,0.18516065,0.6192638,2.3517988,0.5951326,0.62291795,1.7325349
2410004P03Rik,437,0.5136284,0.082311384,0.78286356,0.6601673,0.18158074,0.22649921,0.43131703,0.12269628,0.044918478
2810468N07Rik,637,0.36282682,0.097747326,0.6140607,0.53900117,0.5761017,0.65045524,0.2650795,0.07505953,0.074353516
2900026A02Rik,1967,0.2626178,0.08380813,0.57175714,0.51916593,0.44688657,0.47461545,0.17880967,0.052591205,0.027728885
9130024F11Rik,1366,0.245544,0.18969071,0.73293304,0.68430215,0.3515242,0.35977057,0.055853292,0.048630893,0.008246362
9630013A20Rik,322,0.11788378,0.041254304,0.68653727,0.6973458,0.33428398,0.33897957,0.076629475,-0.0108085275,0.0046955943
A2m,246,0.19334298,0.24140196,0.38903394,0.35844144,0.49851608,0.4935439,-0.04805897,0.030592501,-0.0049721897
A2ml1,1345,0.28159815,0.19804482,0.64245373,0.60405356,0.45810544,0.4846479,0.08355333,0.038400173,0.026542455
A830036E02Rik,1533,0.29853252,0.23244977,0.66540956,0.63251925,0.3613137,0.37509784,0.066082746,0.03289032,0.01378414
AI506816,1157,0.17767014,0.28825924,0.35090458,0.38969168,0.4780142,0.47561252,-0.1105891,-0.038787097,-0.0024016798
AI593442,1454,0.23782922,0.06137756,0.59114945,0.20174985,0.7438089,2.0157945,0.17645167,0.3893996,1.2719855
AW551984,202,0.62502694,0.14529742,0.8531967,0.72773504,0.36435887,0.4851748,0.47972953,0.12546164,0.12081593
Abhd12b,350,0.47663212,0.12980017,0.8055823,0.7466672,0.1883386,0.20570944,0.34683195,0.05891508,0.01737085
Ace,110,0.15288587,-0.010349153,0.60799927,0.5618755,0.4396254,0.46529844,0.16323502,0.046123743,0.025673032
Ache,812,0.54397625,0.26140147,0.72854084,0.591473,0.6020324,0.7166508,0.28257477,0.13706785,0.11461836
Ackr1,1548,0.2917327,0.04614721,0.5396865,0.32154894,0.54875624,0.66671866,0.24558549,0.21813756,0.11796242
Acly,1020,0.32166085,0.015956137,0.56758904,0.10349476,0.629201,1.9832397,0.3057047,0.46409428,1.3540387
Actn1,1620,0.45633987,0.030005971,0.6435719,0.16641586,0.5923661,1.5178423,0.4263339,0.47715604,0.9254762
Actn2,773,0.5170722,0.10193658,0.6570469,0.47481743,0.41213194,0.4862549,0.41513562,0.18222949,0.074122965
