gene,gene_index,method,source_predictable,frozen_fusion_assignment,spatial_pearson,residual_pearson,log1p_rmse,spatial_pearson_sd,residual_pearson_sd,log1p_rmse_sd
1110017D15Rik,410,anchor_only_calibrated,True,global_anchor_w0.75,0.4442697,0.7515988151232401,0.29789466,0.0,0.005634001376087618,0.0
1110017D15Rik,410,hyperspatial_map_calibrated_fusion,True,global_anchor_w0.75,0.41793406,0.7443324526151022,0.30273232,0.0028680547,0.005568000729928247,0.0005360499
1110017D15Rik,410,registered_idw_k12,True,global_anchor_w0.75,-0.021661699,,0.45505333,0.0039550387,,0.0049245297
1700007K13Rik,603,anchor_only_calibrated,True,global_anchor_w1.00,0.4366891,0.7290789286295573,0.2637177,0.0,0.004493861882609735,0.0
1700007K13Rik,603,hyperspatial_map_calibrated_fusion,True,global_anchor_w1.00,0.4366891,0.7290789286295573,0.2637177,0.0,0.004493861882609735,0.0
1700007K13Rik,603,registered_idw_k12,True,global_anchor_w1.00,-0.0037580815,,0.38688895,0.0051103844,,0.0029152492
1700016K19Rik,1438,anchor_only_calibrated,True,global_anchor_w1.00,0.3836092,0.7343198657035828,0.18400176,0.0,0.005449213578200453,0.0
1700016K19Rik,1438,hyperspatial_map_calibrated_fusion,True,global_anchor_w1.00,0.3836092,0.7343198657035828,0.18400176,0.0,0.005449213578200453,0.0
1700016K19Rik,1438,registered_idw_k12,True,global_anchor_w1.00,0.0090486,,0.27433035,0.00858727,,0.0026226314
1700047M11Rik,1488,anchor_only_calibrated,True,local_anchor_w0.75,0.3319305,0.652836819489797,0.3808968,0.0,0.002527032749409472,0.0
1700047M11Rik,1488,hyperspatial_map_calibrated_fusion,True,local_anchor_w0.75,0.3273866,0.6470667719841003,0.38233277,0.002304911,0.0020069247229541317,0.00047506273
1700047M11Rik,1488,registered_idw_k12,True,local_anchor_w0.75,0.043636605,,0.50750774,0.0051485277,,0.0016110927
1700094D03Rik,274,anchor_only_calibrated,True,global_anchor_w0.75,0.38012668,0.7183670798937479,0.34765267,0.0,0.009774630685214405,0.0
1700094D03Rik,274,hyperspatial_map_calibrated_fusion,True,global_anchor_w0.75,0.3612013,0.7140464186668396,0.35115388,0.0039790897,0.009368882165848278,0.00075396564
1700094D03Rik,274,registered_idw_k12,True,global_anchor_w0.75,0.0037271753,,0.50487965,0.008405191,,0.008032415
2010204K13Rik,890,anchor_only_calibrated,True,local_anchor_w0.75,0.48860797,0.7133977214495341,0.5471713,0.0,0.003137970441896901,0.0
2010204K13Rik,890,hyperspatial_map_calibrated_fusion,True,local_anchor_w0.75,0.47596112,0.7141059438387553,0.55038327,0.00198068,0.0027587313785513946,0.00083160505
2010204K13Rik,890,registered_idw_k12,True,local_anchor_w0.75,0.025192723,,0.81029564,0.0048513734,,0.005452432
2010300C02Rik,421,anchor_only_calibrated,True,local_anchor_w0.75,0.66849923,0.8045357465744019,0.61043394,0.0,0.0016608701238573474,0.0
2010300C02Rik,421,hyperspatial_map_calibrated_fusion,True,local_anchor_w0.75,0.6596444,0.8080785870552063,0.6192638,0.00094151543,0.0014297502188413583,0.00085556234
2010300C02Rik,421,registered_idw_k12,True,local_anchor_w0.75,-0.040829558,,1.026784,0.0062189284,,0.0030719552
2410004P03Rik,437,anchor_only_calibrated,True,global_anchor_w1.00,0.5136284,0.7828635374704996,0.18158074,0.0,0.006318118413704187,0.0
2410004P03Rik,437,hyperspatial_map_calibrated_fusion,True,global_anchor_w1.00,0.5136284,0.7828635374704996,0.18158074,0.0,0.006318118413704187,0.0
2410004P03Rik,437,registered_idw_k12,True,global_anchor_w1.00,-0.009945282,,0.2928159,0.0092678005,,0.0038851523
