disease	gene	program	why_biologically_relevant	target_withheld_yes_no	MAP_recovery_summary	appropriate_for_main_text_yes_no	reason
MASLD	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	yes	median spatial r 0.025→0.439; RMSE 1.201→0.609; median residual r=0.747	yes	All three median endpoints favorable with majority consistency across available units.
MASLD	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	yes	mixed/limited: spatial MAP>IDW 31/33; RMSE MAP<IDW 14/33; positive residual r 33/33; median residual r=0.606	no	Retained transparently because one or more predefined recovery criteria were not met.
MASLD	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	yes	median spatial r -0.048→0.383; RMSE 0.771→0.544; median residual r=0.695	yes	All three median endpoints favorable with majority consistency across available units.
MASLD	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	yes	median spatial r -0.005→0.105; RMSE 0.490→0.436; median residual r=0.504	yes	All three median endpoints favorable with majority consistency across available units.
PSC	TAT	hepatocyte_zonation	periportal hepatocyte identity and zonation	yes	median spatial r 0.042→0.759; RMSE 0.832→0.485; median residual r=0.838	yes	All three median endpoints favorable with majority consistency across available units.
PSC	DCN	portal_fibrotic	portal stromal matrix and fibrotic remodeling	yes	median spatial r -0.040→0.558; RMSE 0.749→0.450; median residual r=0.770	yes	All three median endpoints favorable with majority consistency across available units.
PSC	KRT8	ductular_reaction	epithelial intermediate filament represented in ductular reaction	yes	median spatial r 0.015→0.544; RMSE 0.621→0.458; median residual r=0.670	yes	All three median endpoints favorable with majority consistency across available units.
PSC	TIMP1	ecm_remodeling	matrix metalloproteinase inhibition and extracellular-matrix turnover	yes	median spatial r -0.014→0.613; RMSE 0.910→0.794; median residual r=0.598	yes	All three median endpoints favorable with majority consistency across available units.
AH	CYP3A4	metabolic_dysfunction	zonated hepatocyte xenobiotic metabolism altered in liver injury	yes	mixed/limited: spatial MAP>IDW 1/2; RMSE MAP<IDW 2/2; positive residual r 2/2; median residual r=0.803	no	Retained transparently because one or more predefined recovery criteria were not met.
AH	DCN	fibrosis_ecm	stromal extracellular-matrix organization	yes	median spatial r -0.030→0.529; RMSE 0.820→0.635; median residual r=0.757	yes	All three median endpoints favorable with majority consistency across available units.
AH	TUBB	regenerative_response	microtubule component represented in regenerative/proliferative response	yes	median spatial r 0.013→0.057; RMSE 0.646→0.539; median residual r=0.763	yes	All three median endpoints favorable with majority consistency across available units.
AH	KRT8	hepatocyte_injury_stress	hepatocyte epithelial cytoskeleton and injury-associated remodeling	yes	median spatial r -0.048→0.243; RMSE 0.907→0.817; median residual r=0.533	yes	All three median endpoints favorable with majority consistency across available units.
AH	NFKBIA	inflammatory_immune_response	NF-kappaB feedback and inflammatory signaling	yes	median spatial r 0.022→0.222; RMSE 0.486→0.366; median residual r=0.608	yes	All three median endpoints favorable with majority consistency across available units.
