disease	gene	program	biological_role	number_of_biological_units	IDW_spatial_Pearson	MAP_spatial_Pearson	delta_spatial_Pearson	IDW_RMSE	MAP_RMSE	delta_RMSE	residual_Pearson	consistency_across_units	notes
MASLD	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	33 biopsies / 32-patient cohort	0.024989161	0.438557495	0.413568334	1.2013395	0.6093493	-0.5919902	0.747235103	spatial MAP>IDW 32/33; RMSE MAP<IDW 29/33; positive residual r 33/33	Median across biopsy evaluations; cohort has 32 patients and one repeated biopsy; the deposited mapping does not permit exact patient-balanced collapse.
MASLD	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	33 biopsies / 32-patient cohort	-0.03090388	0.307734035	0.338637915	0.8939739	0.8808303	-0.0131436	0.605943858	spatial MAP>IDW 31/33; RMSE MAP<IDW 14/33; positive residual r 33/33	Median across biopsy evaluations; cohort has 32 patients and one repeated biopsy; the deposited mapping does not permit exact patient-balanced collapse.
MASLD	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	33 biopsies / 32-patient cohort	-0.047669278	0.382603833	0.430273111	0.7709191	0.5441122	-0.2268069	0.695200702	spatial MAP>IDW 32/33; RMSE MAP<IDW 33/33; positive residual r 33/33	Median across biopsy evaluations; cohort has 32 patients and one repeated biopsy; the deposited mapping does not permit exact patient-balanced collapse.
MASLD	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	33 biopsies / 32-patient cohort	-0.005454032	0.105258006	0.110712038	0.48968393	0.4358816	-0.05380233	0.503501655	spatial MAP>IDW 24/33; RMSE MAP<IDW 33/33; positive residual r 33/33	Median across biopsy evaluations; cohort has 32 patients and one repeated biopsy; the deposited mapping does not permit exact patient-balanced collapse.
PSC	TAT	hepatocyte_zonation	periportal hepatocyte identity and zonation	4 sections / 1 patient	0.042108681	0.759139144	0.717030463	0.8318381	0.48488544	-0.34695266	0.838204584	spatial MAP>IDW 4/4; RMSE MAP<IDW 4/4; positive residual r 4/4	Four sections from one patient; section-level consistency is not patient replication.
PSC	DCN	portal_fibrotic	portal stromal matrix and fibrotic remodeling	4 sections / 1 patient	-0.040029686	0.557811639	0.597841325	0.74941823	0.44974318	-0.29967505	0.770375095	spatial MAP>IDW 4/4; RMSE MAP<IDW 4/4; positive residual r 4/4	Four sections from one patient; section-level consistency is not patient replication.
PSC	KRT8	ductular_reaction	epithelial intermediate filament represented in ductular reaction	4 sections / 1 patient	0.014932009	0.544060615	0.529128606	0.6205201	0.45755458	-0.16296552	0.669587731	spatial MAP>IDW 4/4; RMSE MAP<IDW 4/4; positive residual r 4/4	Four sections from one patient; section-level consistency is not patient replication.
PSC	TIMP1	ecm_remodeling	matrix metalloproteinase inhibition and extracellular-matrix turnover	4 sections / 1 patient	-0.014493211	0.613075459	0.62756867	0.910240225	0.79356195	-0.116678275	0.598145232	spatial MAP>IDW 4/4; RMSE MAP<IDW 4/4; positive residual r 4/4	Four sections from one patient; section-level consistency is not patient replication.
AH	CYP3A4	metabolic_dysfunction	zonated hepatocyte xenobiotic metabolism altered in liver injury	2 independent patients	0.005843755	0.019788768	0.013945012	2.5530977	1.70479675	-0.84830095	0.803013102	spatial MAP>IDW 1/2; RMSE MAP<IDW 2/2; positive residual r 2/2	Two independent patients reported separately and summarized with an equal-weight median.
AH	DCN	fibrosis_ecm	stromal extracellular-matrix organization	2 independent patients	-0.029714762	0.529406787	0.559121549	0.82040747	0.634650665	-0.185756805	0.756662577	spatial MAP>IDW 2/2; RMSE MAP<IDW 2/2; positive residual r 2/2	Two independent patients reported separately and summarized with an equal-weight median.
AH	TUBB	regenerative_response	microtubule component represented in regenerative/proliferative response	2 independent patients	0.013045785	0.056862442	0.043816656	0.64550347	0.53928885	-0.10621462	0.763463373	spatial MAP>IDW 2/2; RMSE MAP<IDW 2/2; positive residual r 2/2	Two independent patients reported separately and summarized with an equal-weight median.
AH	KRT8	hepatocyte_injury_stress	hepatocyte epithelial cytoskeleton and injury-associated remodeling	2 independent patients	-0.048288375	0.243253219	0.291541593	0.90737595	0.81674862	-0.09062733	0.532584388	spatial MAP>IDW 2/2; RMSE MAP<IDW 2/2; positive residual r 2/2	Two independent patients reported separately and summarized with an equal-weight median.
AH	NFKBIA	inflammatory_immune_response	NF-kappaB feedback and inflammatory signaling	2 independent patients	0.02197811	0.222282164	0.200304054	0.485580035	0.365683785	-0.11989625	0.608472098	spatial MAP>IDW 2/2; RMSE MAP<IDW 2/2; positive residual r 2/2	Two independent patients reported separately and summarized with an equal-weight median.
