disease	biological_unit	gene	program	biological_role	IDW_spatial_Pearson	MAP_spatial_Pearson	delta_spatial_Pearson	IDW_RMSE	MAP_RMSE	delta_RMSE	residual_Pearson
MASLD	VLP115_A_C1	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	-0.030007695583347486	0.4671780616168241	0.4971857572001716	0.8641943999999999	0.61150914	-0.2526852599999999	0.6605094003604414
MASLD	VLP115_A_C1	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	-0.11222804289956118	0.4549706482563724	0.5671986911559336	0.8419639999999999	0.6183031999999999	-0.2236608	0.7193593212475655
MASLD	VLP115_A_C1	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	-0.08611075702764437	0.3076048015074054	0.39371555853504975	0.61904466	0.59402	-0.025024660000000032	0.4966765901130061
MASLD	VLP115_A_C1	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	-0.2321700600827063	0.5963497575206084	0.8285198176033146	1.6541795	0.66790605	-0.9862734499999999	0.8358374187538286
MASLD	VLP115_A_C2	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	0.003191488963495099	0.05386126782830188	0.05066977886480678	0.88638896	0.7677984999999999	-0.11859046000000006	0.4391303973280882
MASLD	VLP115_A_C2	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	0.13476312351717645	0.2591097554933939	0.12434663197621743	0.8637173	0.77020293	-0.09351437000000007	0.5427280138652549
MASLD	VLP115_A_C2	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	-0.032970060302157815	0.06123282804918091	0.09420288835133872	0.537485	0.45873509999999995	-0.07874990000000004	0.4696229840332533
MASLD	VLP115_A_C2	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	0.02007368680695978	0.2049315821486137	0.18485789534165392	1.6261201	0.7632767	-0.8628434	0.5790892343058738
MASLD	VLP115_A_C3	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	-0.1014005610641639	0.053878296827716186	0.1552788578918801	0.8939739	0.68185127	-0.21212262999999998	0.5477980230877924
MASLD	VLP115_A_C3	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	0.19827191105229175	0.2468666329512818	0.048594721898990056	0.78850013	0.66674834	-0.12175178999999992	0.4893419540134294
MASLD	VLP115_A_C3	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	0.06930102953341277	0.028308286495500344	-0.04099274303791243	0.53941524	0.5188937	-0.02052153999999995	0.319693985034601
MASLD	VLP115_A_C3	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	-0.058749070909387864	0.01285739020052672	0.07160646110991459	1.3776416	0.73792577	-0.63971583	0.6055408459365197
MASLD	VLP115_A_C4	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	-0.07978458195717261	0.2560495520449646	0.33583413400213724	0.861612	0.893526	0.031914	0.6190901480994327
MASLD	VLP115_A_C4	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	-0.11898849115616772	0.2768947021059389	0.39588319326210664	0.88171566	0.67138344	-0.21033221999999996	0.6903569135492845
MASLD	VLP115_A_C4	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	-0.07048107923061334	0.0642338674097107	0.13471494664032402	0.5023641999999999	0.35180208	-0.1505621199999999	0.6395863827776489
MASLD	VLP115_A_C4	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	0.09387269313816417	0.260229919950071	0.16635722681190684	1.6077436999999999	0.67724466	-0.9304990399999998	0.6424681868529603
MASLD	VLP116_D_C1	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	0.09004180884267253	0.5337806232139557	0.44373881437128315	0.7023022	0.66560745	-0.03669475	0.6211057616105069
MASLD	VLP116_D_C1	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	-0.08858230517840361	0.6032650582151867	0.6918473633935903	0.8825746999999999	0.5228537999999999	-0.3597209	0.754401175099282
MASLD	VLP116_D_C1	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	0.030388073800953125	0.23062441775343376	0.20023634395248063	0.4436157	0.38635737	-0.057258330000000024	0.5449060711239855
MASLD	VLP116_D_C1	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	0.011891803046749534	0.4967412714283782	0.4848494683816287	1.3879955	0.5663345999999999	-0.8216609	0.7367150471478153
MASLD	VLP116_D_C2	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	-0.06157151206793374	-0.40648060690180543	-0.34490909483387167	1.3595853999999998	1.5562459	0.19666050000000013	0.33592617125771745
MASLD	VLP116_D_C2	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	0.10257053858813817	0.6116402786839222	0.5090697400957841	0.7429439999999999	0.4708486	-0.27209539999999993	0.7390161584834715
MASLD	VLP116_D_C2	NFKBIA	inflammation	NF-kappaB feedback and inflammatory signaling	0.05219060220528654	0.31607022512088595	0.2638796229155994	0.38158387	0.31203059999999994	-0.06955327000000006	0.6062352698302932
MASLD	VLP116_D_C2	TAT	hepatocyte_zonation	periportal amino-acid metabolism and hepatocyte zonation	0.000985850367244267	0.5655440859025224	0.5645582355352781	0.9858874	0.47376204	-0.51212536	0.8137762136641785
MASLD	VLP116_D_C3	SCD	lipid_metabolic_reprogramming;steatosis_associated	fatty-acid desaturation and steatosis-associated lipid synthesis	-0.01952335686053327	0.7293661668191707	0.748889523679704	1.3664386	1.6417849999999998	0.2753463999999999	0.7362505204869941
MASLD	VLP116_D_C3	DCN	extracellular_matrix_fibrosis	stromal extracellular-matrix organization and fibrotic remodeling	0.0515064996812266	0.5062816724473976	0.454775172766171	0.89725983	0.5266303000000001	-0.3706295299999999	0.6868580664811567
