target_key	stage	direction	source	target	seed	coordinate_key	raw_chamfer	registered_chamfer	relative_reduction	reflection	registration_runtime_seconds	final_loss	biological_unit	statistical_unit	algorithmic_repeat	similarity_coordinates_status	final_registered_coordinates_status	deformation_magnitude_status	jacobian_folding_status	coordinate_sensitivity_status
50p_E1_to_E2	50% epiboly	E1→E2	E1	E2	42	global_sphere	0.0323647704177281	0.0175333990057322	0.4582566543982588	none	7.669137452961877	0.001760603277944	50% epiboly E2 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
50p_E1_to_E2	50% epiboly	E1→E2	E1	E2	43	global_sphere	0.0323647704177281	0.017526315246916	0.4584755269168915	none	5.424054709961638	0.0016594163607805	50% epiboly E2 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
50p_E1_to_E2	50% epiboly	E1→E2	E1	E2	44	global_sphere	0.0323647704177281	0.017733012662803	0.4520890327993911	none	5.4011231400072575	0.0017697982257232	50% epiboly E2 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
50p_E2_to_E1	50% epiboly	E2→E1	E2	E1	42	global_sphere	0.0323647704177281	0.0167763878829916	0.4816466279086517	none	7.623509748838842	0.0016428715316578	50% epiboly E1 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
50p_E2_to_E1	50% epiboly	E2→E1	E2	E1	43	global_sphere	0.0323647704177281	0.0169749346468031	0.4755119709576252	none	5.430523073067889	0.0016344189643859	50% epiboly E1 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
50p_E2_to_E1	50% epiboly	E2→E1	E2	E1	44	global_sphere	0.0323647704177281	0.0169169357795996	0.4773040079921845	none	5.412533837137744	0.0016250781482085	50% epiboly E1 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E1_to_E2	75% epiboly	E1→E2	E1	E2	42	global_sphere	0.0955113193107279	0.0136821145650872	0.8567487637713903	none	8.065289332997054	0.0019307975890114	75% epiboly E2 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E1_to_E2	75% epiboly	E1→E2	E1	E2	43	global_sphere	0.0955113193107279	0.0137097658074728	0.8564592562807058	none	5.7973179360851645	0.0016728304326534	75% epiboly E2 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E1_to_E2	75% epiboly	E1→E2	E1	E2	44	global_sphere	0.0955113193107279	0.0138932308158362	0.8545383843915165	none	5.89515172294341	0.0018240790814161	75% epiboly E2 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E2_to_E1	75% epiboly	E2→E1	E2	E1	42	global_sphere	0.0955113193107279	0.0149802034655877	0.8431578207306242	none	7.719961014110595	0.0021998358424752	75% epiboly E1 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E2_to_E1	75% epiboly	E2→E1	E2	E1	43	global_sphere	0.0955113193107279	0.0151086121782785	0.841813386231997	none	5.671827041078359	0.0020466702990233	75% epiboly E1 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
75p_E2_to_E1	75% epiboly	E2→E1	E2	E1	44	global_sphere	0.0955113193107279	0.0148898837832834	0.8441034644821304	none	5.719452996971086	0.0021057182457298	75% epiboly E1 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E1_to_E2	6-somite	E1→E2	E1	E2	42	spatial	0.0115761023337259	0.0111302924742436	0.0385112230896178	none	7.707915364997461	0.0006209178827702	6-somite E2 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E1_to_E2	6-somite	E1→E2	E1	E2	43	spatial	0.0115761023337259	0.01131038857794	0.0229536460654609	none	5.537917865905911	0.0006293639889918	6-somite E2 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E1_to_E2	6-somite	E1→E2	E1	E2	44	spatial	0.0115761023337259	0.0111054836435065	0.0406543305036529	none	5.4842310468666255	0.0006040154257789	6-somite E2 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E2_to_E1	6-somite	E2→E1	E2	E1	42	spatial	0.0115761023337259	0.0110515765853341	0.0453110842726117	none	7.873690246837214	0.0005572474328801	6-somite E1 embryo	directional embryo-pair registration	seed 42	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E2_to_E1	6-somite	E2→E1	E2	E1	43	spatial	0.0115761023337259	0.0106303843119362	0.0816957205910691	none	6.0193771701306105	0.0005253030685707	6-somite E1 embryo	directional embryo-pair registration	seed 43	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
6s_E2_to_E1	6-somite	E2→E1	E2	E1	44	spatial	0.0115761023337259	0.0105334999361178	0.0900650640043685	none	5.854174152947962	0.0005427814321592	6-somite E1 embryo	directional embryo-pair registration	seed 44	not_serialized	not_serialized	not_available	not_available	not_frozen_for_registration
