target_key	stage	source_embryo	target_embryo	method	seed	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high	predictable_genes	residual_spatial_pearson_median	rank_svg_spatial_pearson_median	effect_vs_idw_svg_spatial_pearson_median	rank_residual_spatial_pearson_median	effect_vs_idw_residual_spatial_pearson_median	rank_auprc_enrichment_median	effect_vs_idw_auprc_enrichment_median	rank_topk_dice_median	effect_vs_idw_topk_dice_median	rank_weighted_centroid_error_median	effect_vs_idw_weighted_centroid_error_median	rank_spatial_emd_median	effect_vs_idw_spatial_emd_median	rank_log1p_rmse	effect_vs_idw_log1p_rmse	mean_rank_7_endpoints	endpoint_gene_set	effect_orientation	evaluation_unit
50p_E1_to_E2	50% epiboly	E1	E2	registered_nearest_neighbor	43.0	0.1976174513498941	0.1773994095506747	1.2609855096666702	0.3578408955170563	0.0261376901496254	0.06552502995711	0.8963809808095297	0.0917800845606029	100.0	0.137817953278621	0.2375972458471854	477.0	-0.0884157593051592	6.0	-0.08279149731000268	6.0	-0.0884157593051592	6.0	-0.1364451321788107	6.0	-0.040660593770224907	5.0	-0.0008494404923626991	4.0	0.0016882845126933999	6.0	-0.11284746726353967	5.571428571428571	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E1_to_E2	50% epiboly	E1	E2	registered_idw_k12	43.0	0.2804089486598968	0.2451497475577161	1.397430641845481	0.3985014892872812	0.0252882496572627	0.0672133144698034	0.78353351354599	0.4889567209724388	100.0	0.2130824233094851	0.3405031191805998	477.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	4.0	0.0	6.0	0.0	5.0	0.0	5.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E1_to_E2	50% epiboly	E1	E2	atlas_plus_global_anchor_residual	43.0	0.4909040828545888	0.4209381067684637	1.6429827966536186	0.4791196539866751	0.0218014428970034	0.0634739786883068	0.663420557975769	0.2471924853811993	100.0	0.4113056026399135	0.5388820370038351	477.0	0.3205536107222239	3.0	0.210495134194692	3.0	0.3205536107222239	3.0	0.24555215480813763	4.0	0.08061816469939392	3.0	0.003486806760259302	3.0	0.0037393357814966	3.0	0.12011295557022095	3.142857142857143	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E1_to_E2	50% epiboly	E1	E2	atlas_plus_local_anchor_residual	43.0	0.4798762400945027	0.4263796572967985	1.637944830043148	0.4845914761910869	0.0273280262788636	0.0656343068407986	0.6784668564796448	0.2815514175255472	100.0	0.4035580456256866	0.5300584435462952	477.0	0.306390901406606	4.0	0.1994672914346059	4.0	0.306390901406606	4.0	0.24051418819766712	3.0	0.0860899869038057	6.0	-0.0020397766216008993	5.0	0.0015790076290048	4.0	0.10506665706634521	4.285714285714286	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E1_to_E2	50% epiboly	E1	E2	anchor_only_calibrated	43.0	0.5770244002342224	0.4829938839007855	2.147387057774297	0.5462682008717095	0.01519754172189	0.0586366851836054	0.6173822283744812	0.1455116732251082	100.0	0.5209395304322243	0.6096834540367126	477.0	0.4760510623455047	1.0	0.2966154515743256	1.0	0.4760510623455047	1.0	0.7499564159288161	1.0	0.14776671158442828	1.0	0.010090707935372702	1.0	0.008576629286197998	1.0	0.1661512851715088	1.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E1_to_E2	50% epiboly	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.5614516933759054	0.4851107898716485	2.003056589852712	0.535587435282939	0.0171378896743448	0.0605209589540987	0.6528216203053793	0.2083994372895209	100.0	0.4976298213005066	0.6056121389071146	477.0	0.4705023864905039	2.0	0.2810427447160086	2.0	0.4705023864905039	2.0	0.605625948007231	2.0	0.13708594599565777	2.0	0.008150359982917903	2.0	0.006692355515704698	2.0	0.13071189324061072	2.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E2_to_E1	50% epiboly	E2	E1	registered_nearest_neighbor	43.0	0.1992689569791157	0.1595436080127519	1.3439537080584465	0.3108852703853084	0.0306030363055907	0.0690661067607562	0.8676672180493673	0.1823881355746225	99.0	0.1321764759719371	0.2423245064914226	478.0	-0.1180183763305345	6.0	-0.09488791227340701	6.0	-0.1180183763305345	6.0	-0.1589019999442911	6.0	-0.04341187820637232	6.0	-0.002108315702975299	6.0	-0.0010457148452602955	6.0	-0.13109860817591357	6.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E2_to_E1	50% epiboly	E2	E1	registered_idw_k12	43.0	0.2941568692525227	0.2299597760150554	1.5028557080027376	0.3542971485916807	0.0284947206026154	0.0680203919154959	0.7365686098734537	0.5369766342104504	99.0	0.2060416610290606	0.3383736809094747	478.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E2_to_E1	50% epiboly	E2	E1	atlas_plus_global_anchor_residual	43.0	0.4227864344914754	0.3584837039177579	1.7048646664310054	0.387903655814874	0.0246116437662404	0.062286233246046	0.6458335518836975	0.2135011888759752	99.0	0.3360819198191165	0.4726841350396474	478.0	0.2818558613459269	4.0	0.1286295652389527	3.0	0.2818558613459269	4.0	0.20200895842826783	4.0	0.033606507223193305	4.0	0.0038830768363749997	3.0	0.005734158669449901	3.0	0.09073505798975623	3.5714285714285716	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E2_to_E1	50% epiboly	E2	E1	atlas_plus_local_anchor_residual	43.0	0.4344205856323242	0.3697463760606362	1.7510112804861373	0.4140617227711367	0.0219529219938525	0.0625841693640998	0.6475992798805237	0.2783134516425732	99.0	0.3659508536259332	0.4903754246731598	478.0	0.2800766726334889	3.0	0.1402637163798015	4.0	0.2800766726334889	3.0	0.2481555724833997	3.0	0.059764574179455965	3.0	0.006541798608762899	4.0	0.0054362225513961	4.0	0.08896932999293006	3.4285714285714284	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
