target_key	stage	source_embryo	target_embryo	gene_index	gene	is_anchor	source_cv_selected_validation_pearson	source_cv_idw_validation_pearson	source_cv_delta_pearson	source_cv_selected_validation_mse	source_cv_idw_validation_mse	source_cv_delta_mse_favorable	raw_source_cv_guard_pass	guard_pass	guard_fallback	raw_selected_candidate	selected_predictor_category	source_defined_confirmatory_predictable_non_anchor	guard_rule
50p_E1_to_E2	50% epiboly	E1	E2	0	ackr3b	False	0.8623852729797363	0.10809632390737534	0.754288949072361	0.3406456410884857	1.7134991884231567	1.372853547334671	True	True	False	global_anchor_w1.00	Anchor-only	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	1	acvr1ba	False	0.5842733383178711	0.2685869634151459	0.3156863749027252	0.19566428661346436	0.2797926664352417	0.08412837982177734	True	True	False	local_anchor_w0.25	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	2	add3b	False	0.785104513168335	0.28094518184661865	0.5041593313217163	0.2532045543193817	0.6873739361763	0.43416938185691833	True	True	False	local_anchor_w0.50	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	3	adka	False	0.5282965898513794	0.3471216857433319	0.18117490410804749	0.1430608332157135	0.191428080201149	0.048367246985435486	True	True	False	local_anchor_w0.25	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	4	admp	False	0.6615977883338928	0.5510720014572144	0.11052578687667847	0.46853774785995483	0.6425841450691223	0.17404639720916748	True	True	False	local_anchor_w0.50	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	5	ahi1	False	0.47622713446617126	0.017136836424469948	0.4590902980417013	0.3054978847503662	0.4193475842475891	0.1138496994972229	True	True	False	global_anchor_w1.00	Anchor-only	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	6	akap12b	False	0.7301512956619263	0.41438916325569153	0.31576213240623474	0.06981174647808075	0.12225254625082016	0.05244079977273941	True	True	False	local_anchor_w0.50	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	7	alcamb	False	0.7767868638038635	0.0758747011423111	0.7009121626615524	0.31575119495391846	0.9648153781890869	0.6490641832351685	True	True	False	global_anchor_w0.75	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	8	aldob	False	0.8852694034576416	0.27364933490753174	0.6116200685501099	0.13962888717651367	0.6772743463516235	0.5376454591751099	True	True	False	local_anchor_w0.25	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	9	anp32e	False	0.8321614861488342	0.4727339744567871	0.3594275116920471	0.1116672232747078	0.28946954011917114	0.17780231684446335	True	True	False	local_anchor_w0.50	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	10	apex1	False	0.20780746638774872	0.045096516609191895	0.16271094977855682	0.27099791169166565	0.3409935235977173	0.06999561190605164	True	True	False	local_anchor_w0.75	Calibrated mixture	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
50p_E1_to_E2	50% epiboly	E1	E2	11	aplnra	False	0.90775465965271	0.13016778230667114	0.7775868773460388	0.2169881910085678	1.5135695934295654	1.2965814024209976	True	True	False	global_anchor_w1.00	Anchor-only	True	selected_source_cv_mse < idw_source_cv_mse AND delta_source_cv_pearson > 0.03
