record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
method_summary	A	E1	E2	full	B1_lineage_registered_idw	Lineage-transported registered IDW		479.0	7028.0	3998.0	7028.0	0.04820058512508018	0.04820058512508018	defined	0.030662288889288906	0.03488703444600105	0.06595579534769057	0.06484375606992515	1.1072237491607666	0.7513893842697144	0.15547949546589024	98.0	0.22836181348035106	0.048220579195554315	0.04412355622306996	0.052606741533807636	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	A	E1	E2	full	B2_lineage_early_map	Lineage-transported early HyperSpatial-MAP		479.0	7028.0	3998.0	7028.0	0.0		undefined_zero_future_residual	0.0	0.0	0.08637689799070357	0.08668092013253584	1.0845916271209717	0.7360306382179259	0.22711392043090695	98.0	0.2873116665995246				TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	A	E1	E2	full	B3_mean_developmental_correction	Mean source developmental correction		479.0	7028.0	3998.0	7028.0	0.5604469545831109	0.5604469545831109	defined	0.0069180806167423725	0.0	0.08641599118709564	0.08668011816639051	0.8974450826644897	0.6090283989906311	0.2271198775545764	98.0	0.2873116665995246	0.5604431424095526	0.5583022816305947	0.5626565179337558	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	A	E1	E2	full	B4_anchor_only_temporal	Early-anchor-only temporal predictor		479.0	7028.0	3998.0	7028.0	0.5710638147916682	0.5710638147916682	defined	0.2276706695556641	0.21603941917419436	0.18824970722198486	0.1848810818601493	0.8868418335914612	0.6018327474594116	0.1704976520910157	98.0	0.3763100324479878	0.5710709499365277	0.5684349845265539	0.573727727155251	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	A	E1	E2	full	B5_trajectory_free_map_t	Trajectory-free temporal residual model		479.0	7028.0	3998.0	7028.0	0.4855720763844377	0.4855720763844377	defined	0.10578905791044237	0.1055714264512062	0.10793006420135498	0.09882207297610526	0.9752835035324096	0.6618514657020569	0.113636095354663	98.0	0.2642695361973172	0.4856365812437332	0.4797370559421436	0.491581762492088	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	A	E1	E2	full	B6_trajectory_aware_map_t	Full trajectory-aware HyperSpatial-MAP-T		479.0	7028.0	3998.0	7028.0	0.6205218131387544	0.6205218131387544	defined	0.2513715922832489	0.2029212117195129	0.2380766719579697	0.2299480936348209	0.8542231917381287	0.5796969532966614	0.20995131119535854	98.0	0.4187948992896662	0.6205386288273079	0.6167302911868999	0.6244225436158766	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	B	E2	E1	full	B1_lineage_registered_idw	Lineage-transported registered IDW		479.0	6807.0	3907.0	6807.0	0.07881992303513863	0.07881992303513863	defined	0.04024837538599968	0.03825181722640991	0.05449812114238739	0.05269351213055228	1.1287907361984253	0.7594802379608154	0.10861692148393726	99.0	0.2191408374116368	0.0788095424328474	0.07408326199618552	0.08367204333324857	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	B	E2	E1	full	B2_lineage_early_map	Lineage-transported early HyperSpatial-MAP		479.0	6807.0	3907.0	6807.0	0.0		undefined_zero_future_residual	0.0	0.0	0.06856196373701096	0.06564773499638214	1.1109405755996704	0.7474701404571533	0.17628901528034652	99.0	0.2280163599182004				TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	B	E2	E1	full	B3_mean_developmental_correction	Mean source developmental correction		479.0	6807.0	3907.0	6807.0	0.5703981714955076	0.5703981714955076	defined	0.01260740589350462	3.157419214971924e-08	0.06856844574213028	0.06564766548866567	0.9088463187217712	0.6114957928657532	0.1762890367821272	99.0	0.2280163599182004	0.5704154141690494	0.5685459472865582	0.572173340680991	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	B	E2	E1	full	B4_anchor_only_temporal	Early-anchor-only temporal predictor		479.0	6807.0	3907.0	6807.0	0.5637698826067211	0.5637698826067211	defined	0.2138604074716568	0.22099438309669492	0.1477116048336029	0.14033439124902114	0.9153354167938232	0.6158618330955505	0.16250084599297926	99.0	0.3136503067484663	0.5638087587735888	0.5613869206967605	0.5661758296619797	TM0_ancestor_family	2000.0					directional_target_embryo	True
