extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_a	anchor_b_conditioned	anchor_a_rank	anchor_b_rank	conditional_utility_median_residual_pearson	conditional_mse_improvement_median	fraction_genes_helped_conditionally	genes_evaluated	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	gata5	1	2	0.0009021233389982508	0.00013906931146950852	0.6179540709812108	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	perp	1	3	0.0034748460709735085	0.0005691597265313209	0.7118997912317327	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	mdm2	1	4	0.001165451086114766	0.00016885376322038625	0.6743215031315241	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	tfap2c	1	5	0.0009085416004045999	0.00014476155758247344	0.6325678496868476	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	cxcr4a	1	6	0.001288363828477801	0.00018071178476343486	0.6597077244258872	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	dact2	1	7	0.00094249460527987	0.00012759536262801907	0.6325678496868476	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	bmp7a	1	8	0.0019575235142765823	0.00031158907761225096	0.7014613778705637	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	efnb2a	1	9	0.0007364828970602977	0.00010317393698325295	0.6325678496868476	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	foxd5	1	10	0.0008723154350249174	0.00011802023160752129	0.6263048016701461	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	ppp1r7	1	11	0.0008429549273932802	0.00013924482794266946	0.6346555323590815	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	cfl1l	1	12	0.0009247415342912291	0.00011910048739655066	0.6346555323590815	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	klf2a	cdx4	1	13	0.0007572526924362888	0.00010216704011334343	0.6367432150313153	479	lower conditional utility indicates greater substitution/redundancy
