extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_rank	anchor_gene	anchor_gene_index	utility_median_residual_pearson	mse_improvement_median	fraction_genes_helped	genes_evaluated	top_supported_genes
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	1	klf2a	216	0.0007821834376899178	0.00010758355932016794	0.6325678496868476	479	krt4,krt18a.1,krt8,grhl1,znf185,twist1a,aplnra,irx7,klf2b,gata2a
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	2	gata5	158	0.0023160623188447915	0.00029061731703283744	0.7056367432150313	479	gata6,mixl1,znf1004,flrt3,foxa3,lft2,ndr2,ndr1,dkk1b,wnt11f2
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	3	perp	317	0.0019493568222765378	0.0003069063103716685	0.6805845511482255	479	meis2a,chrd,twist1a,rfx2,ripply1,tbx16,fn1b,zgc:175088,tuba8l4,c1qbp
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	4	mdm2	254	0.001543902705566147	0.00028743280255891235	0.6764091858037579	479	cdkn1ca,fzd8a,ccng1,xbp1,cdt1,cdh6,smtnl,foxb1b,gata6,cst3
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	5	tfap2c	441	0.00044539952258942916	6.910212041427721e-05	0.5782881002087683	479	bambia,ved,szl,admp,mycn,sox17,chrd,ednraa,noto,igf2bp1
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	6	cxcr4a	80	0.00313495458178939	0.0005869888042632776	0.7703549060542797	479	sox3,crabp2b,etv5a,mycn,her8a,wnt11f2,snai2,rrm2,mad1l1,rplp2l
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	7	dact2	81	0.0008138530223825158	0.00011960619044268372	0.6179540709812108	479	tph1b,dld,pknox1.1,rasgef1ba,zic2a,fscn1a,chrd,sall3b,tbxta,foxd3
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	bmp7a	35	0.0029549450490081175	0.0006199765453894224	0.7473903966597077	479	bmp2b,lamc1,lamb1a,aldob,adka,erf,snai1a,akap12b,mych,skia
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	9	efnb2a	102	0.0011238162574394028	0.00020388504666390972	0.6868475991649269	479	lft2,lhx1a,dkk1b,cth1,kirrel3l,rnd1b,osr1,lft1,zic2a,sebox
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	10	foxd5	141	0.0011209430569706913	0.00020585353016344676	0.6555323590814196	479	foxh1,sox19a,rbmx,ndr1,zswim5,etv5b,nasp,fzd8a,rps3,hdlbpa
