extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	rank	gene_index	gene	marginal_residual_pearson_gain	expected_source_cv_residual_pearson	coverage_mean_max_squared_correlation	redundancy_mean_pairwise_squared_correlation	max_abs_correlation_to_previous	genes_helped_count	genes_evaluated_count	top_supported_genes	coordinate_key	source_cells	selector_sample_cells	status	not_primary_panel	budget
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	1	224	krt4	0.30785032001128704	0.18945372803871696	0.09356894730562128	0.0	0.0	484	494	klf2a,grhl1,znf185,her6,krt8,aplnra,ackr3b,tfap2a,gata2a,alcamb	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	2	205	ism1	0.0442909400763129	0.23374466811502986	0.1175756235311265	0.0065746593822388335	0.0810842733348387	415	493	wnt11f2,ndr1,sdc4,foxh1,zswim5,gata5,syne2b,gata6,rbm4.3,dkk1b	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	3	102	efnb2a	0.02197983775252449	0.25572450586755435	0.12449542021838234	0.02082871201527056	0.2092546557592439	388	492	tbxta,lft1,her1,lft2,sebox,cldnd,lhx1a,dkk1b,foxc1a,zic2a	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	4	54	cdkn1ca	0.014871663163831816	0.27059616903138617	0.12814412481433748	0.055258835463239765	0.4453620936928948	372	491	mdm2,ccng1,xbp1,smtnl,tfap2c,cdt1,sox32,gbx1,si:dkey-261m9.12,tcf3b	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	5	92	dnmt3bb.2	0.00947921404903751	0.2800753830804237	0.13036225308114502	0.04041640145409857	0.23384952404034065	418	490	dscc1,pmp22b,rps3,kmt2bb,si:dkey-92i17.2,her8a,znf576.2,rpl5a,cdx4,ednraa	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	6	141	foxd5	0.006992787474722595	0.2870681705551463	0.13855980698271578	0.053967625059556705	0.4806652920781193	367	489	foxh1,sox3,ndr1,nasp,etv5b,zic2b,sox19a,sox11a,wnt11f2,zswim5	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	7	445	tmed2	0.010127113799888898	0.29719528435503517	0.14064133149013935	0.046017178127861554	0.23254180217388906	359	488	rpl4,ppp1r7,foxg1a,snrpd3,rac1a,gapdh,pfn2,pmp22b,arf5,nr2f2	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	125	fbln2	0.005279367550430958	0.30247465190546613	0.1425633029306546	0.03950290381273725	0.22218928373215976	352	487	skila,cd63,prdm1a,si:dkey-261h17.1,hoxb8a,nr2f2,mab21l2,tbx3b,her12,myod1	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	9	484	zgc:174154	0.004048554767093815	0.30652320667255994	0.1444470508095421	0.03584656454574787	0.2690541430587025	292	486	tbxta,wnt11f2,arl4ab,fgf8a,dmd,her7,cldnd,atoh1c,rrm2,mycb	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	10	41	casz1	0.0038920373077934722	0.3104152439803534	0.14636576044484226	0.032749039358987285	0.24153373579246512	321	485	ripply1,coq10b,irx5a,kazald2,clocka,kdrl,foxo1a,nr2f2,meis2a,cnmd	global_sphere	8547	5000	post-hoc experimental-design extension	True	32
