extension	setting	stage	source_embryo	direction	summary_type	entity_1	entity_2	estimate	estimate_unit	budget_8	budget_16	budget_32	monotonic_increase	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	budget_recoverability	budget 8/16/32		0.04829281628125098	Δ median residual Pearson, budget 32 minus 8	0.2909193748971333	0.3165189708471332	0.3392121911783843	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	highest_frozen_anchor_utility	cxcr4a		0.00313495458178939	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	strongest_conditional_redundancy	hoxb1b	bmp7a	-0.0001582203603666121	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	budget_recoverability	budget 8/16/32		0.04852146262126994	Δ median residual Pearson, budget 32 minus 8	0.33905959948007397	0.3690078374584186	0.3875810621013439	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	highest_frozen_anchor_utility	gata5		0.0021315126098421233	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	strongest_conditional_redundancy	vent	cdx4	-0.0002315981939743361	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	budget_recoverability	budget 8/16/32		0.07446354926001092	Δ median residual Pearson, budget 32 minus 8	0.3188999114971018	0.3448825844626217	0.3933634607571127	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	highest_frozen_anchor_utility	cdh6		0.005401506152782842	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	strongest_conditional_redundancy	lft2	crabp2b	-0.00010015642924687819	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	budget_recoverability	budget 8/16/32		0.07923647483374613	Δ median residual Pearson, budget 32 minus 8	0.3246943230096643	0.3709004755307438	0.4039307978434104	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	highest_frozen_anchor_utility	rrbp1b		0.0020035250197083247	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	strongest_conditional_redundancy	lmo4a	add3b	-0.0002729082084735879	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	budget_recoverability	budget 8/16/32		0.08737425230380991	Δ median residual Pearson, budget 32 minus 8	0.1960889450773382	0.2360918991300631	0.2834631973811481	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	highest_frozen_anchor_utility	fn1b		0.002924735365718467	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	strongest_conditional_redundancy	six7	gata5	6.63192727244355e-05	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	budget_recoverability	budget 8/16/32		0.08692814200047033	Δ median residual Pearson, budget 32 minus 8	0.1695999384829313	0.20141596650696167	0.25652808048340164	True	source-only expected recoverability increases with measurement budget
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	highest_frozen_anchor_utility	rrbp1b		0.0024696385998631554	median LOAO Δ residual Pearson					highest setting-specific LOAO utility; individual effects are small
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	strongest_conditional_redundancy	nanos3	tuba8l2	-4.7369271198305356e-05	median conditional utility U_a|b					lowest conditional utility in setting; greater substitutability/redundancy
