anchor_order	gene_id	gene	selection_information
1	ENSG00000146678	IGFBP1	healthy_source_only
2	ENSG00000026025	VIM	healthy_source_only
3	ENSG00000112936	C7	healthy_source_only
4	ENSG00000229314	ORM1	healthy_source_only
5	ENSG00000166741	NNMT	healthy_source_only
6	ENSG00000205364	MT1M	healthy_source_only
7	ENSG00000170345	FOS	healthy_source_only
8	ENSG00000140505	CYP1A2	healthy_source_only
9	ENSG00000101335	MYL9	healthy_source_only
10	ENSG00000130522	JUND	healthy_source_only
11	ENSG00000211592	IGKC	healthy_source_only
12	ENSG00000106366	SERPINE1	healthy_source_only
13	ENSG00000019582	CD74	healthy_source_only
14	ENSG00000244067	GSTA2	healthy_source_only
15	ENSG00000148671	ADIRF	healthy_source_only
16	ENSG00000135094	SDS	healthy_source_only
